 ,Pos,No.,Name,Club,Category,Status,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,1st,1,Paul Oldham,Hope Factory Racing,M, ,02:58:30,Elite,G, ,10,P/S Chris & Paul Oldham,00:47:50,01:00:55,01:41:33,02:00:39,02:41:11,02:58:30
Details/Certificate,2nd,154,Rob Jebb,Hope Factory Racing,MV40, ,02:59:06,Elite, , ,14, ,00:45:45,00:59:29,01:40:52,01:59:16,02:41:14,02:59:06
Details/Certificate,3rd,122,Nick Craig,Scott Racing,MV40, ,03:07:28,Elite, , ,17, ,00:49:10,01:02:41,01:46:51,02:05:55,02:48:28,03:07:28
Details/Certificate,4th,48,Gary Macdonald,Hope Factory Racing,M, ,03:11:53,Elite, , ,3, ,00:51:12,01:04:50,01:49:28,02:07:48,02:53:28,03:11:53
Details/Certificate,5th,39,Adrian Lansley,Pedal On,M, ,03:11:59,Elite, , ,2, ,00:49:09,01:03:33,01:47:35,02:06:24,02:52:11,03:11:59
Details/Certificate,6th,102,Ben BardsleyTwitterStrava,Cyclewise Altura,MV40, ,03:12:09,Elite, , ,8, ,00:49:12,01:03:09,01:47:23,02:07:45,02:53:31,03:12:09
Details/Certificate,7th,29,Alex Forrester,Zepnat.com Lazer American Classics,M, ,03:12:31,Elite, , ,15, ,00:49:18,01:03:12,01:49:21,02:08:19,02:53:55,03:12:31
Details/Certificate,8th,195,Ian Taylor,C & N Cycles RT,MV40, ,03:12:33,Elite, , ,17, ,00:49:51,01:02:15,01:48:28,02:06:11,02:55:11,03:12:33
Details/Certificate,9th,54,David Mirfield,Ride-on Bike Shop,M, ,03:12:35,Elite, , ,3, ,00:50:43,01:04:30,01:49:25,02:07:47,02:54:46,03:12:35
Details/Certificate,10th,74,Nic Smith,Moonglu,M, ,03:13:13,Elite, ,N,0, ,00:50:02,01:05:03,01:49:22,02:09:30,02:54:46,03:13:13
Details/Certificate,11th,204,Dan Whitehead,Bike Station Ballater,MV40, ,03:15:45,Elite, , ,9, ,00:49:21,01:02:50,01:48:39,02:07:15,02:56:20,03:15:45
Details/Certificate,12th,31,Matthew Fretwell,Escape Bike Shop,M, ,03:17:08,Elite, , ,4, ,00:51:19,01:04:26,01:50:44,02:08:16,02:58:29,03:17:08
Details/Certificate,13th,185,Andrew PeaceFacebook,Jedi Cycle Sport,MV40, ,03:17:11,Elite, , ,21, ,00:51:42,01:05:41,01:52:51,02:11:11,02:58:47,03:17:11
Details/Certificate,14th,8,Dan Booth,Hope Factory Racing,M, ,03:17:19,Elite, , ,7, ,00:52:37,01:05:25,01:52:12,02:09:50,02:59:38,03:17:19
Details/Certificate,15th,28,Hamish Fletcher-Cooney,All Terrain Cycles - Ride in Peace,M, ,03:17:46,Elite, , ,1, ,00:52:14,01:04:47,01:51:35,02:08:50,02:59:29,03:17:46
Details/Certificate,16th,7,Florent BessesFacebook,FFCAM Excellence  France,M, ,03:18:37,Elite, ,N,0, ,00:51:40,01:06:46,01:52:30,02:11:33,02:59:05,03:18:37
Details/Certificate,17th,189,Simon Rodgers,U/A Halifax,MV40, ,03:19:57,Elite, , ,8, ,00:52:28,01:06:57,01:53:01,02:12:22,03:00:14,03:19:57
Details/Certificate,18th,75,Andrew Stuart,Nottingham Clarion,M, ,03:21:09,Elite, , ,2, ,00:52:16,01:06:52,01:52:50,02:12:34,03:00:56,03:21:09
Details/Certificate,19th,59,Mirko Pfau,Team WNT,M, ,03:23:11,Elite, , ,1, ,00:52:19,01:08:00,01:54:55,02:15:00,03:03:27,03:23:11
Details/Certificate,20th,92,Edwyn Oliver-Evans,www.cxmagazine.com,MU23, ,03:23:13,Elite,G, ,3,P/S Timothy Evans & Edwyn Oliver-Evans,00:52:09,01:07:30,01:54:56,02:14:33,03:03:26,03:23:13
Details/Certificate,21st,95,Bob Addey,Otley,MV40, ,03:23:49,Elite, , ,6, ,00:52:15,01:05:47,01:54:08,02:13:26,03:04:20,03:23:49
Details/Certificate,22nd,27,Richard Firth,U/A Leeds,M, ,03:23:54,Elite, , ,1, ,00:52:43,01:07:11,01:53:36,02:13:09,03:04:06,03:23:54
Details/Certificate,23rd,6,David Beskeen,Psyclewerx,M, ,03:24:26,Elite, , ,2, ,00:53:17,01:09:06,01:55:40,02:16:20,03:04:34,03:24:26
Details/Certificate,24th,53,Christopher Minter,Pedal On,M, ,03:25:22,Elite, ,N,0, ,00:54:03,01:08:55,01:55:47,02:16:16,03:04:17,03:25:22
Details/Certificate,25th,176,John Murfin,Jedi Cycle Sport,MV40, ,03:25:25,Elite,G, ,7,P/S John & Thomas Murfin,00:51:23,01:05:53,01:52:56,02:15:06,03:04:53,03:25:25
Details/Certificate,26th,161,Adrian Lawrence,C & N Cycles RT,MV40, ,03:27:37,Elite, , ,3, ,00:53:58,01:09:39,01:57:32,02:18:30,03:07:19,03:27:37
Details/Certificate,27th,150,Robert Hope,Chorley Cycling Club,MV40, ,03:27:45,Elite, , ,4, ,00:51:10,01:06:52,01:52:53,02:15:04,03:06:36,03:27:45
Details/Certificate,28th,66,Thomas Randall,Huddersfield Star Wheelers,M, ,03:27:56,Elite, , ,17, ,00:51:17,01:06:50,01:54:04,02:15:46,03:07:02,03:27:56
Details/Certificate,29th,52,Christopher MetcalfeTwitter,Charge Bikes,M, ,03:29:35,Elite, , ,3, ,00:53:13,01:07:33,01:56:40,02:17:29,03:08:50,03:29:35
Details/Certificate,30th,49,Ted Mason,Ilkley Cycles Race Team,M, ,03:29:48,Elite, , ,2, ,00:51:27,01:06:15,01:54:14,02:13:32,03:07:42,03:29:48
Details/Certificate,31st,46,Jordy LuismanFacebookTwitterInstagram,ATB Team Lemelerveld  Netherlands,M, ,03:29:51,Elite, ,N,0, ,00:51:47,01:07:04,01:55:03,02:18:32,03:09:07,03:29:51
Details/Certificate,32nd,167,Stefan Macina,Aurelius Cycles,MV40, ,03:29:54,Elite, , ,11, ,00:54:39,01:10:17,01:58:57,02:19:57,03:10:08,03:29:54
Details/Certificate,33rd,177,Keith MurrayFacebookTwitterInstagramStrava,Scott Racing,MV40, ,03:29:57,Elite, , ,9, ,00:54:39,01:10:12,01:59:31,02:20:12,03:10:36,03:29:57
Details/Certificate,34th,30,James Fraser-Moodie,Pedal Power,M, ,03:30:02,First, , ,4, ,00:54:14,01:08:45,01:56:07,02:16:32,03:07:35,03:30:02
Details/Certificate,35th,205,Nicholas Whitley,69 Cycles,MV40, ,03:31:50,First, , ,1, ,00:53:44,01:08:48,01:56:21,02:18:38,03:11:07,03:31:50
Details/Certificate,36th,72,Henry Sleight,Drag 2 Zero,M, ,03:32:11,First, , ,1, ,00:54:56,01:12:01,02:00:44,02:23:14,03:12:06,03:32:11
Details/Certificate,37th,35,Ryan HenryFacebook,Numplumz,M, ,03:32:17,First, ,N,0, ,00:51:32,01:05:21,01:57:38,02:20:07,03:13:39,03:32:17
Details/Certificate,38th,84,Nick Williamson,Carnethy HRC and ERC,M, ,03:32:42,First, , ,1, ,00:53:38,01:09:14,01:56:02,02:16:35,03:04:11,03:32:42
Details/Certificate,39th,197,James Waddington,U/A Laneshawbridge Lancs,MV40, ,03:33:33,First, ,N,0, ,00:54:44,01:11:17,02:00:12,02:23:15,03:12:17,03:33:33
Details/Certificate,40th,111,Jonty Bright,Harrogate Nova,MV40, ,03:34:01,First, ,N,0, ,00:56:59,01:11:50,02:02:02,02:22:11,03:14:50,03:34:01
Details/Certificate,41st,148,Phil Hinchliffe,Holmfirth Cycling Club,MV40, ,03:34:15,First, , ,27, ,00:55:07,01:09:58,02:00:16,02:20:44,03:13:53,03:34:15
Details/Certificate,42nd,552,John Tanner,JS Cycleshack,MV40, ,03:34:17,First, ,N,0, ,00:56:01,01:12:28,02:01:30,02:23:53,03:13:17,03:34:17
Details/Certificate,43rd,145,Dave HaygarthFacebookTwitterStrava,Carnac / Planet X,MV40, ,03:34:38,First, , ,16, ,00:55:00,01:08:34,01:58:29,02:18:45,03:15:08,03:34:38
Details/Certificate,44th=,104,Geoff Beetham,Sigma Sport,MV40, ,03:35:23,First, , ,11, ,00:51:51,01:08:04,01:57:39,02:20:14,03:13:42,03:35:23
Details/Certificate,44th=,13,Scott Chalmers,Andy Cook Cycling-Saddleback,M, ,03:35:23,First, , ,2, ,00:53:18,01:09:33,01:57:07,02:23:18,03:13:51,03:35:23
Details/Certificate,46th,501,Thomas Murfin,Jedi Cycle Sport,MU18, ,03:35:33,First,G,N,0,P/S John & Thomas Murfin,00:54:51,01:09:59,01:57:52,02:19:47,03:15:15,03:35:33
Details/Certificate,47th,144,Doug Hart,Ilkley CC,MV40, ,03:36:41,First, , ,10, ,00:54:40,01:10:02,01:58:07,02:19:10,03:15:55,03:36:41
Details/Certificate,48th,61,David Poole,Barlick Fell Runners,M, ,03:36:48,First, , ,2, ,00:55:49,01:10:54,02:00:38,02:21:05,03:15:46,03:36:48
Details/Certificate,49th,212,Andrew Wrigley,Keswick Bikes,MV40, ,03:37:13,First, , ,4, ,00:56:58,01:13:04,02:02:15,02:24:38,03:16:55,03:37:13
Details/Certificate,50th,253,Des Woods,Newry Wheelers CC,MV50, ,03:37:14,First, , ,1, ,00:55:32,01:13:08,02:02:01,02:25:46,03:16:06,03:37:14
Details/Certificate,51st,42,Philip LenneyTwitter,BowlPhish Bontrager Racing,M, ,03:38:11,First, ,N,0, ,00:54:47,01:11:11,02:00:39,02:24:59,03:16:29,03:38:11
Details/Certificate,52nd,11,Robert Burns,Islabikes,M, ,03:39:12,First, ,N,0, ,00:57:33,01:13:28,02:03:20,02:25:34,03:18:00,03:39:12
Details/Certificate,53rd,70,Sam Watson,Hope Factory Racing,M, ,03:39:18,First, , ,3, ,00:55:41,01:11:36,02:02:09,02:24:28,03:17:42,03:39:18
Details/Certificate,54th,225,Mark Ferguson,High Peak Cycles,MV50, ,03:39:39,First, , ,14, ,00:55:03,01:11:27,02:01:14,02:25:53,03:18:28,03:39:39
Details/Certificate,55th,37,Phil Holwell,Peak RC,M, ,03:39:53,First, , ,1, ,00:51:00,01:05:19,01:51:01,02:27:51,03:19:27,03:39:53
Details/Certificate,56th,77,Paul Upton,U/A Grange Over Sands,M, ,03:39:54,First, ,N,0, ,00:55:22,01:12:27,02:02:19,02:24:58,03:17:53,03:39:54
Details/Certificate,57th,160,Richard Knowles,Ride On Bikes,MV40, ,03:40:07,First, , ,4, ,00:55:34,01:12:24,02:02:13,02:25:07,03:18:25,03:40:07
Details/Certificate,58th,36,Bob Hewitt,YH Training Scarborough RC,M, ,03:40:22,First, ,N,0, ,00:53:44,01:09:30,01:56:25,02:23:30,03:13:28,03:40:22
Details/Certificate,59th,109,Robin Bradbury,Norton Wheelers,MV40, ,03:40:23,First, , ,23, ,00:56:35,01:13:01,02:03:22,02:26:06,03:19:21,03:40:23
Details/Certificate,60th,231,Ian Holmes,Jedi Cycle Sport,MV50, ,03:40:26,First, , ,16, ,00:56:55,01:12:56,02:02:52,02:25:11,03:19:42,03:40:26
Details/Certificate,61st,164,Mat Livesey,U/A Silverdale,MV40, ,03:40:43,First, , ,3, ,00:53:53,01:11:58,02:01:03,02:24:37,03:17:43,03:40:43
Details/Certificate,62nd,25,Scot Easter,Scott Sports,M, ,03:41:04,First, , ,7, ,00:54:51,01:10:27,02:02:58,02:25:09,03:19:47,03:41:04
Details/Certificate,63rd,127,Morgan Donnelly,Beacon Wheelers,MV40, ,03:41:28,First, , ,3, ,00:53:57,01:11:14,02:02:48,02:26:17,03:19:24,03:41:28
Details/Certificate,64th,312,Ed Shoote,welovemountains.net,M, ,03:41:41,First, ,N,0, ,00:59:37,01:16:01,02:05:55,02:27:32,03:20:43,03:41:41
Details/Certificate,65th,97,Daniel Alexander,Zepnat.com Lazer American Classics,MV40, ,03:42:18,First, , ,8, ,00:54:46,01:11:12,02:03:40,02:27:12,03:19:39,03:42:18
Details/Certificate,66th,119,Ian CliffeTwitterStrava,Ilkley CC,MV40, ,03:43:14,First, , ,3, ,00:56:41,01:13:20,02:04:35,02:27:14,03:21:08,03:43:14
Details/Certificate,67th,32,Sam Gibbs,Hope Factory Racing,M, ,03:43:16,First, , ,3, ,00:58:47,01:13:29,02:05:14,02:25:41,03:22:22,03:43:16
Details/Certificate,68th,19,Stephen Cunningham,Shimna Wheelers,M, ,03:43:24,First, ,N,0, ,00:54:20,01:11:33,02:04:03,02:29:06,03:20:55,03:43:24
Details/Certificate,69th,326,Andreas Ziegler,Scott Sports  Switzerland,M, ,03:43:25,First, ,N,0, ,01:01:13,01:16:37,02:08:23,02:28:56,03:23:23,03:43:25
Details/Certificate,70th,21,Bruce DaltonTwitterInstagram,Team Kinesis UK,M, ,03:43:40,First, ,N,0, ,00:55:38,01:12:55,02:04:59,02:27:08,03:21:18,03:43:40
Details/Certificate,71st,58,Samuel Pantling,Ride4Michael,M, ,03:44:07,First, , ,2, ,00:58:00,01:15:49,02:05:50,02:29:21,03:22:24,03:44:07
Details/Certificate,72nd,81,Rob Watson,Prologue RT,M, ,03:44:20,First, , ,4, ,00:56:33,01:09:09,02:06:04,02:31:24,03:25:42,03:44:20
Details/Certificate,73rd=,63,David Powell,Horwich CC / Team JMC,M, ,03:44:23,First, , ,7, ,00:56:08,01:15:46,02:05:51,02:31:51,03:22:24,03:44:23
Details/Certificate,73rd=,56,Robert Ormrod,Ilkley CC,M, ,03:44:23,First, ,N,0, ,00:56:53,01:13:07,02:03:32,02:25:48,03:23:35,03:44:23
Details/Certificate,75th,172,Tony Mills,York Cycleworks,MV40, ,03:45:37,First, , ,7, ,00:56:33,01:13:25,02:05:18,02:28:23,03:23:30,03:45:37
Details/Certificate,76th,286,Peter Davies,Dark Peak Fell Runners,M, ,03:45:48,First, ,N,0, ,01:01:33,01:18:21,02:09:09,02:32:24,03:24:10,03:45:48
Details/Certificate,77th,38,Danny Hope,Horwich RMI Harriers,M, ,03:46:19,First, ,N,0, ,00:55:40,01:13:02,02:02:09,02:25:43,03:22:22,03:46:19
Details/Certificate,78th,60,Neil PhillipsTwitterInstagramStrava,Rapha CC,M, ,03:46:39,First, , ,1, ,00:57:39,01:13:11,02:05:03,02:26:57,03:26:23,03:46:39
Details/Certificate,79th,83,Dave Wilby,Ilkley CC,M, ,03:46:45,First, , ,5, ,00:58:49,01:16:19,02:07:53,02:31:50,03:24:49,03:46:45
Details/Certificate,80th,229,Adrian HillFacebookTwitter,U/A East Yorkshire,MV50, ,03:46:46,First, ,N,0, ,00:58:05,01:14:39,02:05:59,02:29:01,03:24:27,03:46:46
Details/Certificate,81st,15,Dan Clist,Norton Wheelers,M, ,03:46:50,First, , ,2, ,01:00:09,01:17:13,02:08:14,02:33:05,03:25:45,03:46:50
Details/Certificate,82nd,302,Peter Kraaijvanger,Specialized Workforce  Netherlands,M, ,03:47:03,First, ,N,0, ,00:58:54,01:16:54,02:09:16,02:32:00,03:23:10,03:47:03
Details/Certificate,83rd,51,Alex McNicol,Velo Club Moulin,M, ,03:47:22,First, ,N,0, ,00:58:22,01:13:47,02:05:53,02:28:03,03:22:55,03:47:22
Details/Certificate,84th,121,John Cordner,Eastbourne Rovers,MV40, ,03:47:25,First, , ,1, ,00:59:07,01:14:32,02:07:20,02:28:58,03:21:45,03:47:25
Details/Certificate,85th,279,Will BeresfordTwitterInstagram,London Phoenix CC,M, ,03:47:43,First, ,N,0, ,00:58:00,01:15:55,02:07:41,02:33:01,03:25:51,03:47:43
Details/Certificate,86th,210,Nigel WoodTwitter,Helm Hill Runners,MV40, ,03:47:45,First, ,N,0, ,00:57:37,01:15:12,02:07:18,02:31:01,03:26:26,03:47:45
Details/Certificate,87th,12,Tom Canaway,Settle Wheelers,M, ,03:48:07,First, , ,3, ,00:59:14,01:17:10,02:08:35,02:33:12,03:26:29,03:48:07
Details/Certificate,88th,114,Michael BurdonTwitter,PH - MAS Cycling Team,MV40, ,03:48:30,First, , ,4, ,00:57:25,01:13:21,02:05:22,02:27:58,03:26:31,03:48:30
Details/Certificate,89th,124,Phil Davies,Cyclewise Altura,MV40, ,03:48:44,First, , ,5, ,00:52:05,01:08:14,01:56:16,02:19:13,03:25:34,03:48:44
Details/Certificate,90th,193,Chris Smith,St Kilda CC,MV40, ,03:49:02,First, , ,4, ,00:57:55,01:14:27,02:08:11,02:31:59,03:27:50,03:49:02
Details/Certificate,91st,206,Michael Williams,Dulwich Paragon CC,MV40, ,03:49:43,First, ,N,0, ,00:57:21,01:14:19,02:07:45,02:31:22,03:26:53,03:49:43
Details/Certificate,92nd,232,John Houlihan,TNFC,MV50, ,03:50:01,First, , ,3, ,00:59:43,01:17:17,02:09:35,02:32:08,03:27:33,03:50:01
Details/Certificate,93rd,117,Crawford Carrick-Anderson,Peebles Cycling Club,MV40, ,03:50:43,First, , ,1, ,00:58:09,01:12:48,02:08:19,02:34:44,03:31:27,03:50:43
Details/Certificate,94th,86,Phil Winskill,U/A Keswick,M, ,03:50:44,First, , ,3, ,00:58:11,01:16:27,02:08:33,02:33:43,03:28:09,03:50:44
Details/Certificate,95th,45,William LintonFacebookTwitterInstagramStrava,Brixton Cycles Club,M, ,03:50:59,First, , ,2, ,00:59:48,01:16:55,02:09:05,02:34:06,03:28:55,03:50:59
Details/Certificate,96th,116,Robert Carr,U/A Skipton,MV40, ,03:51:04,First, , ,2, ,00:56:45,01:10:17,02:03:26,02:27:40,03:30:30,03:51:04
Details/Certificate,97th,44,Simon Limbert,Peak Revolutions,M, ,03:51:13,First, , ,3, ,00:59:53,01:17:10,02:09:19,02:33:02,03:30:05,03:51:13
Details/Certificate,98th,89,William Weatherill,Hope Factory Racing,MU18, ,03:51:30,First,G,N,0,P/S Ian & William Weatherill,00:57:58,01:14:03,02:07:25,02:29:09,03:30:12,03:51:30
Details/Certificate,99th,140,Craig Gath,York Cycleworks,MV40, ,03:51:50,First,G, ,11,P/S Stephen & Craig Gath,00:59:39,01:18:18,02:13:54,02:38:25,03:31:28,03:51:50
Details/Certificate,100th,26,Ben Eedy,Team Empella,M, ,03:51:55,First, , ,2, ,00:57:15,01:14:01,02:07:46,02:32:25,03:29:57,03:51:55
Details/Certificate,101st,98,Richard AllanFacebookTwitter,TNFC,MV40, ,03:52:17,First, , ,5, ,01:01:01,01:18:52,02:11:56,02:35:20,03:31:25,03:52:17
Details/Certificate,102nd,321,Ivan VukomanovicStrava,U/A Wilmslow,M, ,03:52:18,First, , ,6, ,01:02:10,01:18:34,02:12:17,02:33:29,03:30:42,03:52:18
Details/Certificate,103rd,411,Gary Coltman,Leicestershire Road Club,MV50, ,03:52:41,First, ,N,0, ,00:59:32,01:15:38,02:08:30,02:31:06,03:30:37,03:52:41
Details/Certificate,104th,41,Andy Laycock,U/A Clitheroe,M, ,03:52:46,First,G,N,0,P/S Stephen & Andy Laycock,01:01:01,01:20:18,02:11:57,02:37:15,03:30:05,03:52:46
Details/Certificate,105th,163,Benjamin Lewis,Hackney GT,MV40, ,03:53:00,First, , ,7, ,00:57:13,01:11:06,02:04:13,02:25:17,03:22:34,03:53:00
Details/Certificate,106th,131,Darren DunnFacebookTwitterStrava,Wills Wheels CC,MV40, ,03:53:03,First, , ,2, ,01:02:02,01:19:33,02:12:44,02:36:17,03:30:48,03:53:03
Details/Certificate,107th,139,Richard Gate,AlbaRosa CC,MV40, ,03:54:02,First, , ,2, ,00:58:18,01:14:45,02:08:20,02:32:10,03:31:25,03:54:02
Details/Certificate,108th,237,Peter Jowett,Bradford RCC/Lynn Motors,MV50, ,03:54:06,First, , ,13, ,00:59:55,01:18:33,02:10:50,02:36:28,03:31:33,03:54:06
Details/Certificate,109th,301,Graham Jones,Fruit4London,M, ,03:54:20,First, ,N,0, ,01:00:31,01:18:47,02:12:08,02:38:28,03:33:03,03:54:20
Details/Certificate,110th,168,Fraser Malloch,Zepnat,MV40, ,03:54:21,First, , ,1, ,01:00:50,01:18:16,02:11:23,02:35:53,03:32:45,03:54:21
Details/Certificate,111th,123,Phillip Craker,Ambleside AC/Lakes Road Club,MV40, ,03:54:48,First, , ,3, ,00:58:16,01:16:11,02:08:24,02:37:39,03:32:56,03:54:48
Details/Certificate,112th,137,James Furniss,Zepnat RT,MV40, ,03:55:12,First, , ,10, ,01:01:14,01:18:40,02:13:02,02:38:05,03:33:42,03:55:12
Details/Certificate,113th,287,Lee Edwards,Barlick Fell Runners,M, ,03:55:36,First, ,N,0, ,01:02:52,01:18:46,02:13:06,02:38:20,03:36:05,03:55:36
Details/Certificate,114th,223,Tim Edward,Ilkley CC,MV50, ,03:55:37,First, , ,2, ,00:58:26,01:16:28,02:09:35,02:34:39,03:33:13,03:55:37
Details/Certificate,115th,146,Jason Hemsley,Jedi Cycle Sport,MV40, ,03:55:39,First, , ,11, ,01:00:14,01:18:28,02:11:28,02:36:12,03:33:26,03:55:39
Details/Certificate,116th,80,Christopher Ward,Huddersfield Star Wheelers,M, ,03:55:43,First, , ,3, ,01:00:06,01:16:51,02:11:28,02:34:43,03:34:06,03:55:43
Details/Certificate,117th,247,David SmithStrava,U/A Kendal,MV50, ,03:56:09,First, ,N,0, ,01:03:02,01:21:47,02:15:01,02:39:41,03:35:38,03:56:09
Details/Certificate,118th,215,Bruce Attwood,Here Come The Belgians,MV50, ,03:56:10,First,G, ,5,P/S Bruce & George Attwood,01:02:12,01:20:15,02:14:25,02:39:31,03:35:18,03:56:10
Details/Certificate,119th,169,Paul McInally,Evans Cycles Race Team,MV40, ,03:56:13,First, , ,3, ,01:03:33,01:22:13,02:15:30,02:39:49,03:33:59,03:56:13
Details/Certificate,120th,71,Thomas Schneider,Team WNT,M, ,03:56:17,First, , ,1, ,01:00:05,01:18:20,02:13:01,02:35:49,03:33:36,03:56:17
Details/Certificate,121st,85,Nathan Wilson,Wilsons Wheels RT,M, ,03:56:31,First, ,N,0, ,00:54:35,01:17:05,02:06:56,02:29:18,03:20:28,03:56:31
Details/Certificate,122nd,239,Paul Lambert,Settle Harriers,MV50, ,03:56:51,First, , ,2, ,01:02:26,01:18:13,02:12:46,02:35:47,03:34:49,03:56:51
Details/Certificate,123rd,249,Mick StyleTwitter,Manchester Wheelers,MV50, ,03:57:11,First, , ,9, ,00:59:46,01:18:02,02:10:26,02:34:11,03:30:29,03:57:11
Details/Certificate,124th,221,John Docker,Huddersfield Star Wheelers,MV50, ,03:57:12,First, , ,3, ,01:00:13,01:18:11,02:10:46,02:35:40,03:33:48,03:57:12
Details/Certificate,125th,132,James Eddison,SwissSide Wheels  Switzerland,MV40, ,03:57:16,First, , ,8, ,00:58:58,01:17:07,02:08:56,02:32:54,03:34:25,03:57:16
Details/Certificate,126th,192,Phil SimcockTwitter,Team JMC,MV40, ,03:57:28,First, , ,5, ,00:55:42,01:16:23,02:08:09,02:39:42,03:35:34,03:57:28
Details/Certificate,127th=,242,Colin Moses,Jedi Cycle Sport,MV50, ,03:57:33,First, , ,20, ,01:02:00,01:18:59,02:11:46,02:35:17,03:31:19,03:57:33
Details/Certificate,127th=,14,Steve Chapman,Islabikes,M, ,03:57:33,First, , ,1, ,00:56:49,01:13:11,02:03:22,02:41:16,03:36:18,03:57:33
Details/Certificate,129th,96,Mark Albone,Bronte Wheelers,MV40, ,03:57:36,First, , ,1, ,01:02:31,01:20:08,02:14:57,02:38:57,03:36:16,03:57:36
Details/Certificate,130th,151,Chris Hope,Keswick Bikes,MV40, ,03:57:41,First, ,N,0, ,01:00:58,01:18:37,02:13:47,02:37:06,03:36:42,03:57:41
Details/Certificate,131st,211,Ben Woolveridge,Harrogate Nova,MV40, ,03:57:43,First, , ,3, ,01:01:33,01:20:13,02:13:21,02:37:46,03:35:44,03:57:43
Details/Certificate,132nd,107,Dean Booth,Velo Club Lincoln,MV40, ,03:57:49,First, , ,3, ,00:55:17,01:13:01,02:05:36,02:31:56,03:33:00,03:57:49
Details/Certificate,133rd,103,Dean BarnettFacebookTwitter,Welland Valley CC,MV40, ,03:57:51,First, , ,14, ,01:03:11,01:19:13,02:16:08,02:39:09,03:38:41,03:57:51
Details/Certificate,134th,248,Rick StuartTwitter,Helm Hill Runners,MV50, ,03:58:03,First, , ,3, ,01:00:13,01:17:23,02:11:42,02:37:44,03:35:37,03:58:03
Details/Certificate,135th,87,Iain Young,Weaver Valley CC,M, ,03:58:24,First, ,N,0, ,01:01:39,01:19:27,02:11:50,02:36:13,03:34:32,03:58:24
Details/Certificate,136th,115,Brent Carr,Here Come The Belgians,MV40, ,03:58:33,First, , ,6, ,01:01:46,01:19:23,02:14:07,02:39:54,03:38:06,03:58:33
Details/Certificate,137th,173,Mike MooneyTwitterInstagram,Hub Velo,MV40, ,03:59:03,First, , ,1, ,00:55:36,01:14:36,02:05:10,02:42:49,03:36:37,03:59:03
Details/Certificate,138th,183,Simon PatemanTwitter,Saddleworth Clarion,MV40, ,03:59:13,First, , ,5, ,01:01:48,01:20:08,02:15:04,02:40:51,03:37:13,03:59:13
Details/Certificate,139th,251,Richard Wilson,U/A Carlisle,MV50, ,03:59:19,First, , ,1, ,01:01:06,01:19:07,02:13:44,02:38:58,03:37:10,03:59:19
Details/Certificate,140th,327,George Attwood,Here Come The Belgians,MU18, ,03:59:51,First,G,N,0,P/S Bruce & George Attwood,01:01:43,01:20:02,02:14:55,02:39:44,03:38:08,03:59:51
Details/Certificate,141st,240,Aiden Mc Donald,Cuchulainn CC  Ireland,MV50, ,03:59:58,First, , ,2, ,01:04:09,01:21:56,02:17:47,02:41:53,03:37:29,03:59:58
