 ,Pos,No.,Name,Club,Category,Status,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,142nd,188,Matt Richardson,Airdale Chemicals RT,MV40, ,04:00:00,First, , ,6, ,00:57:46,01:12:40,02:05:32,02:32:50,03:35:13,04:00:00
Details/Certificate,143rd,241,Johnny McCabe,Cuchulainn CC  Ireland,MV50, ,04:00:02,Second, , ,1, ,01:02:31,01:19:42,02:14:39,02:39:31,03:37:24,04:00:02
Details/Certificate,144th,100,Nick Ashmore,Ilkley CC,MV40, ,04:00:41,Second, ,N,0, ,01:03:41,01:24:13,02:17:45,02:44:27,03:38:31,04:00:41
Details/Certificate,145th,156,Russell Jones,Hackney GT,MV40, ,04:00:46,Second, , ,8, ,01:00:17,01:17:40,02:11:54,02:37:03,03:36:27,04:00:46
Details/Certificate,146th,134,Peter Fielding-Smith,Wilsons Wheels RT,MV40, ,04:00:57,Second, , ,8, ,01:00:55,01:20:27,02:14:01,02:39:34,03:36:47,04:00:57
Details/Certificate,147th,283,Stuart CowperthwaiteStrava,Riders Cycle Centre,M, ,04:00:59,Second, ,N,0, ,00:58:18,01:18:50,02:10:18,02:34:56,03:30:26,04:00:59
Details/Certificate,148th,298,Chris Hull,U/A Settle,M, ,04:01:00,Second, ,N,0, ,01:06:32,01:23:31,02:19:17,02:40:36,03:40:20,04:01:00
Details/Certificate,149th,235,Bob Johnson,Gala Cycling Club,MV50, ,04:01:11,Second, , ,20, ,01:03:16,01:21:14,02:16:10,02:40:58,03:38:52,04:01:11
Details/Certificate,150th,5,John Allan,Todmorden harriers,M, ,04:01:30,Second, , ,1, ,01:02:57,01:22:08,02:16:34,02:42:35,03:38:44,04:01:30
Details/Certificate,151st,106,Ian Blackburn,Zepnat,MV40, ,04:01:38,Second, , ,1, ,01:02:40,01:20:10,02:14:51,02:39:14,03:39:38,04:01:38
Details/Certificate,152nd,417,Ian Ferguson,U/A Haworth,MV50, ,04:01:53,Second, , ,12, ,01:02:01,01:18:44,02:13:20,02:38:45,03:36:53,04:01:53
Details/Certificate,153rd,191,Stuart Shaw,Wills Wheels CC,MV40, ,04:01:55,Second, , ,3, ,01:03:27,01:21:19,02:15:58,02:41:34,03:40:05,04:01:55
Details/Certificate,154th,108,Ivan BoyesTwitter,Team Cystic Fibrosis,MV40, ,04:02:04,Second, , ,5, ,01:02:18,01:21:31,02:16:02,02:39:51,03:39:40,04:02:04
Details/Certificate,155th,10,Philip Bridge,Will's Wheels CC,M, ,04:02:28,Second, , ,7, ,01:03:22,01:24:27,02:18:13,02:45:22,03:39:18,04:02:28
Details/Certificate,156th,199,Dave Ward,Hayfield Hub,MV40, ,04:02:47,Second, , ,2, ,01:02:15,01:21:20,02:16:01,02:41:19,03:39:34,04:02:47
Details/Certificate,157th,281,Andrew Burridge,Bristol CX,M, ,04:02:49,Second, , ,5, ,01:00:01,01:18:25,02:13:00,02:38:21,03:37:07,04:02:49
Details/Certificate,158th,62,Addy Pope,Velo Club Moulin,M, ,04:03:15,Second, , ,4, ,01:03:18,01:21:52,02:17:21,02:41:33,03:41:08,04:03:15
Details/Certificate,159th,374,Paul Milsom,Paul Milnes Cycles / Bradford Olympic RC,MV40, ,04:03:16,Second, , ,23, ,01:05:55,01:23:14,02:20:01,02:42:20,03:43:19,04:03:16
Details/Certificate,160th,255,John Galway,Keswick Bikes,MV60, ,04:03:31,Second, , ,2, ,01:02:34,01:21:56,02:16:35,02:41:43,03:39:13,04:03:31
Details/Certificate,161st,79,James Walker,Vitus Bikes,M, ,04:03:54,Second, ,N,0, ,01:03:20,01:18:30,02:17:06,02:37:30,03:41:38,04:03:54
Details/Certificate,162nd,141,Ben Green,Manchester Wheelers,MV40, ,04:04:29,Second, , ,3, ,01:02:46,01:21:43,02:18:48,02:44:14,03:40:59,04:04:29
Details/Certificate,163rd,126,Eelco Docter,Macclesfield Wheelers,MV40, ,04:04:30,Second, , ,3, ,00:59:15,01:15:30,02:11:43,02:35:44,03:34:43,04:04:30
Details/Certificate,164th,319,David van Lopik,U/A Loughborough,M, ,04:04:41,Second, , ,7, ,01:03:37,01:20:48,02:17:25,02:41:31,03:43:16,04:04:41
Details/Certificate,165th,207,Jimmy Wilson,Cyclefit RT,MV40, ,04:05:05,Second, , ,9, ,00:59:05,01:17:45,02:10:30,02:34:59,03:30:22,04:05:05
Details/Certificate,166th,20,Toby CushionTwitterStrava,Keswick AC,M, ,04:05:06,Second, , ,2, ,01:03:26,01:24:19,02:17:17,02:45:10,03:40:14,04:05:06
Details/Certificate,167th,216,Jon Bardgett,Beacon Wheelers,MV50, ,04:05:10,Second, , ,8, ,01:02:48,01:21:42,02:16:19,02:41:42,03:41:36,04:05:10
Details/Certificate,168th,387,Andy Shorney,Pedal On,MV40, ,04:05:52,Second, ,N,0, ,01:04:08,01:22:27,02:18:14,02:43:35,03:41:59,04:05:52
Details/Certificate,169th,149,Graeme HodgsonTwitterStrava,U/A Cleator,MV40, ,04:06:12,Second, , ,8, ,01:05:22,01:22:15,02:18:32,02:41:11,03:39:56,04:06:12
Details/Certificate,170th,55,Marcus Oliver Shields,Ayr Roads CC,M, ,04:06:13,Second, , ,7, ,01:02:49,01:18:53,02:19:04,02:42:45,03:45:32,04:06:13
Details/Certificate,171st,3,Delia Beddis,ViCiOUS Velo,F, ,04:06:25,Second, , ,2, ,01:01:41,01:19:12,02:14:37,02:38:34,03:41:44,04:06:25
Details/Certificate,172nd,186,James PowleslandStrava,South Shields Velo,MV40, ,04:06:45,Second, , ,2, ,01:04:02,01:22:01,02:18:56,02:44:03,03:45:00,04:06:45
Details/Certificate,173rd,400,Mark WildsmithFacebook,Settle Harriers,MV40, ,04:06:46,Second, , ,2, ,01:05:28,01:25:15,02:20:53,02:46:19,03:43:50,04:06:46
Details/Certificate,174th,4,Verity AppleyardTwitter,Brotherton Cycles,FV40, ,04:06:48,Second, , ,4, ,01:03:54,01:22:22,02:20:10,02:45:06,03:44:40,04:06:48
Details/Certificate,175th,222,Anthony Dyment,North Hampshire RC,MV50, ,04:06:58,Second, , ,2, ,01:01:41,01:19:58,02:17:10,02:42:11,03:43:30,04:06:58
Details/Certificate,176th,355,Dave Freeman,TNFC,MV40, ,04:07:15,Second, ,N,0, ,01:07:35,01:25:35,02:21:33,02:45:50,03:44:23,04:07:15
Details/Certificate,177th,323,Simon Wood,GMC Fire Services,M, ,04:08:05,Second, ,N,0, ,01:05:06,01:22:28,02:20:04,02:44:05,03:45:24,04:08:05
Details/Certificate,178th,285,Jonny CrostonTwitter,Calder Clarion,M, ,04:08:07,Second, , ,3, ,01:04:04,01:22:08,02:18:54,02:43:22,03:45:25,04:08:07
Details/Certificate,179th,82,Andrew WhelanFacebookInstagram,Twenty3c,M, ,04:08:18,Second, , ,2, ,01:01:28,01:19:58,02:17:14,02:44:08,03:45:19,04:08:18
Details/Certificate,180th=,157,Mark Jones,North Wales Cyclocross Group/ Chester RC,MV40, ,04:08:20,Second, , ,5, ,01:04:12,01:23:33,02:18:29,02:45:54,03:43:22,04:08:20
Details/Certificate,180th=,488,Adam Fowkes,JS Cycleshack,M, ,04:08:20,Second, ,N,0, ,01:03:42,01:23:10,02:20:23,02:45:33,03:45:03,04:08:20
Details/Certificate,182nd,78,Charles Vincent,Walkers Cycling Club,M, ,04:09:18,Second, , ,3, ,01:02:27,01:21:36,02:17:05,02:44:26,03:44:51,04:09:18
Details/Certificate,183rd,382,Steve Renshaw,Otley CC,MV40, ,04:09:21,Second, ,N,0, ,01:05:02,01:21:47,02:20:19,02:44:14,03:47:31,04:09:21
Details/Certificate,184th,158,Paul Julien,FITT,MV40, ,04:09:32,Second, ,N,0, ,01:04:34,01:23:07,02:20:02,02:45:46,03:46:29,04:09:32
Details/Certificate,185th,551,Tony Stubbs,U/A Leeds,MV40, ,04:09:43,Second, ,N,0, ,01:06:42,01:26:58,02:21:46,02:50:01,03:46:11,04:09:43
Details/Certificate,186th,33,Neil Halliday,RAMcc,M, ,04:09:51,Second, ,N,0, ,00:59:57,01:17:00,02:12:46,02:38:49,03:37:35,04:09:51
Details/Certificate,187th,375,Piers Mortimer,Beacon Wheelers,MV40, ,04:10:03,Second, , ,7, ,01:06:16,01:23:58,02:23:52,02:46:11,03:48:45,04:10:03
Details/Certificate,188th,208,Philip Wilson,U/A Menston W Yorks,MV40, ,04:10:09,Second, , ,16, ,01:03:31,01:22:10,02:20:41,02:46:25,03:47:45,04:10:09
Details/Certificate,189th,65,Peter Presslauer,Team WNT,M, ,04:10:13,Second, , ,1, ,00:53:21,01:28:14,02:26:11,02:53:47,03:47:01,04:10:13
Details/Certificate,190th,213,Matt Yardley,Macclesfield Wheelers,MV40, ,04:10:36,Second, , ,1, ,01:07:12,01:25:14,02:24:04,02:47:07,03:48:44,04:10:36
Details/Certificate,191st,118,Robert CarterFacebook,Velo Club Venta,MV40, ,04:11:00,Second, , ,3, ,01:04:13,01:24:39,02:19:47,02:46:37,03:46:36,04:11:00
Details/Certificate,192nd,368,Bob Johnston,U/A Sheffield,MV40, ,04:11:04,Second, ,N,0, ,01:02:24,01:23:52,02:17:33,02:46:22,03:43:41,04:11:04
Details/Certificate,193rd,24,Stuart Dun,Catcune Suffolks,M, ,04:11:05,Second, , ,1, ,01:00:46,01:17:15,02:08:37,02:33:12,03:39:57,04:11:05
Details/Certificate,194th,314,Adam Smith,Hope Factory Racing,M, ,04:11:39,Second, ,N,0, ,01:01:57,01:19:09,02:15:47,02:39:40,03:46:24,04:11:39
Details/Certificate,195th,68,Mark Richmond,Ilkley Cycles Race Team,M, ,04:12:00,Second, , ,5, ,01:02:10,01:19:28,02:18:06,02:44:09,03:49:22,04:12:00
Details/Certificate,196th,166,Paul Mace,RAF CC,MV40, ,04:12:36,Second, , ,10, ,01:02:18,01:21:38,02:18:10,02:45:44,03:45:53,04:12:36
Details/Certificate,197th,198,Nick Walling,Leicester Forest CC,MV40, ,04:12:38,Second, , ,2, ,01:05:39,01:21:05,02:21:01,02:45:19,03:50:48,04:12:38
Details/Certificate,198th,485,Blake CrouchFacebook,Broad Street Cycles  Canada,M, ,04:13:07,Second, ,N,0, ,01:05:50,01:25:18,02:24:05,02:50:11,03:49:16,04:13:07
Details/Certificate,199th,2,Sarah Barber,North Hampshire RC,F, ,04:13:08,Second, , ,3, ,01:03:43,01:20:34,02:17:48,02:50:37,03:51:28,04:13:08
Details/Certificate,200th,214,Richard Allen,Here Come The Belgians,MV50, ,04:13:10,Second, , ,9, ,00:58:57,01:15:52,02:08:14,02:49:10,03:49:25,04:13:10
Details/Certificate,201st,50,Mark McGoldrickTwitter,Wharfedale Harriers,M, ,04:13:15,Second, , ,3, ,00:55:46,01:16:51,02:08:09,02:32:28,03:46:15,04:13:15
Details/Certificate,202nd,230,Andrew Holgate,Harrogate Nova,MV50, ,04:13:45,Second, , ,2, ,01:05:30,01:24:27,02:20:56,02:46:57,03:49:26,04:13:45
Details/Certificate,203rd,294,Glenn Harrison,U/A High Peak,M, ,04:14:14,Second, ,N,0, ,01:05:36,01:24:48,02:21:36,02:48:44,03:48:33,04:14:14
Details/Certificate,204th,224,John Elwell,East Bradford CC,MV50, ,04:14:17,Second, , ,1, ,01:01:56,01:22:24,02:20:48,02:46:56,03:49:13,04:14:17
Details/Certificate,205th,64,Florian Presslauer,Team WNT,M, ,04:14:36,Second, , ,1, ,00:57:49,01:28:16,02:26:23,02:53:33,03:51:11,04:14:36
Details/Certificate,206th,99,Trevor Allt,U/A West Hallam Derbyshire,MV40, ,04:15:12,Second, , ,1, ,01:06:09,01:24:04,02:21:35,02:53:10,03:52:15,04:15:12
Details/Certificate,207th,297,Edward Hibbert,Cuddington Army Biking Squad,M, ,04:15:15,Second, ,N,0, ,01:07:35,01:25:46,02:22:14,02:49:16,03:52:53,04:15:15
Details/Certificate,208th,130,Alastair Dunn,Kendal CC,MV40, ,04:15:17,Second, , ,1, ,01:01:42,01:21:37,02:19:11,02:46:22,03:48:04,04:15:17
Details/Certificate,209th,468,Christina Wiejak,U/A Ulverston,F, ,04:15:20,Second, ,N,0, ,01:04:46,01:25:44,02:21:40,02:52:22,03:47:50,04:15:20
Details/Certificate,210th,135,Ian Fitzpatrick,Norton Wheelers,MV40, ,04:15:24,Second, ,N,0, ,01:04:30,01:22:20,02:21:16,02:47:14,03:49:55,04:15:24
Details/Certificate,211th,220,Rich CutsforthFacebookTwitterStrava,Velo Club Beverley,MV50, ,04:15:53,Second, , ,1, ,01:07:28,01:26:23,02:25:09,02:50:24,03:51:16,04:15:53
Details/Certificate,212th,396,Andy WardFacebookTwitterInstagramStrava,Leicester Forest CC,MV40,Active,04:16:00,Second, , ,1, ,01:06:29,01:30:38,02:24:25,02:54:26,03:50:37,04:16:00
Details/Certificate,213th,34,Mark Hanson,Paceline Cycles North,M, ,04:16:11,Second, ,N,0, ,01:05:01,01:25:06,02:21:41,02:50:26,03:49:40,04:16:11
Details/Certificate,214th,456,Ian Weatherill,Hope Factory Racing,MV50, ,04:16:12,Second,G, ,8,P/S Ian & William Weatherill,01:07:15,01:23:55,02:24:04,02:50:08,03:53:42,04:16:12
Details/Certificate,215th,484,Rob Copeland,U/A Sheffield,M, ,04:16:21,Second, ,N,0, ,01:06:26,01:26:02,02:24:31,02:50:57,03:51:41,04:16:21
Details/Certificate,216th,265,Heather Tuffs,Clifton CC / Haxby Cycles,F, ,04:16:31,Second, , ,5, ,01:06:29,01:30:38,02:24:25,02:54:26,03:50:37,04:16:31
Details/Certificate,217th,143,Ed Gurney,Velo Club Venta,MV40, ,04:16:33,Second, ,N,0, ,01:05:53,01:25:50,02:25:55,02:52:17,03:52:19,04:16:33
Details/Certificate,218th,317,Steve Stanbrook,Malvern Cycle Sport,M, ,04:16:35,Second, , ,1, ,01:05:41,01:25:50,02:20:59,02:49:49,03:49:28,04:16:35
Details/Certificate,219th,334,Simon Ashwell,Esk Valley Fell Club,MV40, ,04:16:36,Second, ,N,0, ,01:06:29,01:26:02,02:24:15,02:52:06,03:50:45,04:16:36
Details/Certificate,220th,101,Damian Baker,Giant Store Lincoln,MV40, ,04:16:58,Second, ,N,0, ,01:05:07,01:23:43,02:23:03,02:48:26,03:51:34,04:16:58
Details/Certificate,221st,452,Andy WalkerFacebook,Hull Thursday RC,MV50, ,04:17:20,Second, , ,18, ,01:05:57,01:24:33,02:23:52,02:50:47,03:53:04,04:17:20
Details/Certificate,222nd,129,Hollis Duncan,Volata Cyclocross Team  Spain,MV40, ,04:17:42,Second, ,N,0, ,01:01:18,01:22:13,02:17:17,02:50:20,03:50:02,04:17:42
Details/Certificate,223rd,308,Dean Pointer,Chapeau BC,M, ,04:17:45,Second, ,N,0, ,01:08:43,01:29:22,02:28:18,02:56:38,03:53:15,04:17:45
Details/Certificate,224th=,556,Andy Unsworth,www.votwo.co.uk,MV40, ,04:18:06,Second, ,N,0, ,01:10:08,01:29:35,02:27:59,02:54:39,03:54:12,04:18:06
Details/Certificate,224th=,391,Todd Stewart,Here Come The Belgians,MV40, ,04:18:06,Second, , ,3, ,01:05:10,01:24:59,02:25:32,02:52:07,03:53:38,04:18:06
Details/Certificate,226th,487,Matthew Dilley,U/A Sheffield,M, ,04:18:09,Second, ,N,0, ,01:08:20,01:27:27,02:26:03,02:52:11,03:54:09,04:18:09
Details/Certificate,227th,194,Jonathon SnowdenFacebookInstagramStrava,Vive le Velo,MV40, ,04:18:14,Second, , ,1, ,01:05:24,01:25:03,02:24:27,02:51:02,03:53:26,04:18:14
Details/Certificate,228th,381,Nicholas Pullen,Marjislarge,MV40, ,04:18:15,Second, , ,7, ,01:05:42,01:24:53,02:24:10,02:51:03,03:52:47,04:18:15
Details/Certificate,229th,165,Will Longden,Madison Saracen Factory Team,MV40, ,04:18:55,Second, ,N,0, ,01:04:24,01:19:39,02:24:20,02:46:00,03:55:49,04:18:55
Details/Certificate,230th,497,James Wagner,JS Cycleshack,M, ,04:18:59,Second, ,N,0, ,01:07:57,01:26:35,02:26:01,02:50:38,03:53:36,04:18:59
Details/Certificate,231st,296,Marc HeustonTwitter,LJMU Cycling Team/Picton Cycles,M, ,04:19:33,Second, ,N,0, ,01:02:07,01:22:00,02:17:31,02:49:07,03:53:01,04:19:33
Details/Certificate,232nd,416,David Dudley,Rhos-on-Sea Cycling Club,MV50, ,04:19:44,Second, ,N,0, ,01:07:10,01:28:02,02:23:50,02:51:32,03:52:32,04:19:44
Details/Certificate,233rd,358,Antony Hall,U/A Manchester,MV40, ,04:19:55,Second, ,N,0, ,01:10:25,01:30:09,02:28:06,02:54:09,03:55:26,04:19:55
Details/Certificate,234th,94,Raphael Sun,Team WNT,MU23, ,04:19:56,Second, ,N,0, ,01:07:16,01:27:08,02:26:09,02:53:59,03:55:31,04:19:56
Details/Certificate,235th,622,Allister MacSorley,Apollo Cycle Club,M, ,04:20:17,Second,G, ,5,P/S Fred & Allister MacSorley,01:10:11,01:28:15,02:28:04,02:54:43,03:57:45,04:20:17
Details/Certificate,236th,147,Jan HenningFacebook,Guilty76 Racing Frankfurt  Germany,MV40, ,04:20:35,Second, ,N,0, ,01:02:42,01:23:31,02:20:37,02:49:22,03:51:10,04:20:35
Details/Certificate,237th,311,Daniel Shinn,Sheffrec,M, ,04:20:38,Second, , ,1, ,01:07:54,01:25:57,02:25:31,02:51:35,03:53:58,04:20:38
Details/Certificate,238th,175,Craig Morris,U/A Duffield,MV40, ,04:20:48,Second, , ,6, ,01:03:40,01:22:19,02:19:10,02:50:59,03:54:28,04:20:48
Details/Certificate,239th,201,David Watt,AlbaRosa CC,MV40, ,04:20:54,Second, ,N,0, ,00:58:46,01:16:44,02:08:54,02:53:05,03:56:43,04:20:54
Details/Certificate,240th,43,Antony Limbert,U/A Bingley,M, ,04:21:16,Second, , ,1, ,01:04:09,01:22:51,02:20:48,02:47:59,03:54:36,04:21:16
Details/Certificate,241st,120,Garry Cockroft,Shibden CC,MV40, ,04:21:19,Second, , ,2, ,01:04:23,01:22:10,02:22:58,02:49:00,03:54:25,04:21:19
Details/Certificate,242nd,57,Tobias Pantling,Hope  Zyro  WTB  Mojo  GeoMetron,M, ,04:21:20,Second, , ,1, ,01:06:45,01:24:16,02:27:21,02:53:51,03:57:33,04:21:20
Details/Certificate,243rd,360,Tim Howcroft,Otley CC Chevin Cyles,MV40, ,04:21:21,Second, , ,5, ,01:07:53,01:28:57,02:26:55,02:56:10,03:55:38,04:21:21
Details/Certificate,244th,409,Richard Brewster,HCTB,MV50, ,04:21:24,Second, , ,3, ,01:07:32,01:25:54,02:26:47,02:53:07,03:57:56,04:21:24
Details/Certificate,245th,288,Chris EnglishTwitterStrava,Southend Wheelers,M, ,04:21:26,Second, , ,1, ,01:06:30,01:27:57,02:26:08,02:54:27,03:55:33,04:21:26
Details/Certificate,246th,536,Jonathan Lee,U/A Newcastle,MV40, ,04:21:50,Second, , ,4, ,01:07:07,01:28:13,02:25:54,02:53:33,03:54:38,04:21:50
Details/Certificate,247th,362,Dan Hurst,Clwydian Range Runners,MV40, ,04:22:04,Second, , ,2, ,01:04:43,01:24:58,02:21:59,02:51:52,03:54:14,04:22:04
Details/Certificate,248th,336,Jamie Bell,TNFC,MV40, ,04:22:35,Second, , ,4, ,01:09:17,01:27:56,02:28:38,02:53:18,03:58:26,04:22:35
Details/Certificate,249th,245,Fred Salmon,Peak Revolutions,MV50, ,04:23:06,Second, , ,6, ,00:57:18,01:13:07,02:04:23,02:38:07,03:31:30,04:23:06
Details/Certificate,250th,380,Mark Preston,Velo Club Lincoln,MV40, ,04:23:16,Second, , ,9, ,01:07:19,01:26:20,02:26:00,02:52:48,03:55:57,04:23:16
Details/Certificate,251st,133,Simon Everett,Ilkley CC,MV40, ,04:23:18,Second, , ,2, ,00:56:12,01:13:40,02:05:46,02:39:49,03:58:00,04:23:18
Details/Certificate,252nd,325,James Wright,U/A Giggleswick,M, ,04:23:19,Second, , ,2, ,01:06:05,01:25:19,02:22:12,02:48:25,03:53:28,04:23:19
Details/Certificate,253rd,273,Karen Poole,Sportstest RT,FV40, ,04:23:36,Second, ,N,0, ,01:04:12,01:24:59,02:21:13,02:49:54,03:58:09,04:23:36
Details/Certificate,254th,170,Sandy Meek,Here Come The Belgians,MV40, ,04:23:39,Second, , ,2, ,01:05:51,01:27:28,02:24:52,02:55:07,03:56:38,04:23:39
Details/Certificate,255th,361,Duncan Humphreys,Malton Wheelers,MV40, ,04:23:46,Second, , ,19, ,01:07:01,01:25:44,02:25:50,02:52:42,03:56:03,04:23:46
Details/Certificate,256th,424,Michael Hopkinson,Ilkley CC,MV50, ,04:24:15,Second, , ,11, ,01:05:33,01:23:39,02:21:44,02:50:19,03:54:44,04:24:15
Details/Certificate,257th,347,Simon CowellFacebookStrava,Velo Club Lincoln,MV40, ,04:24:17,Second, ,N,0, ,01:07:05,01:26:19,02:26:03,02:53:22,03:58:26,04:24:17
Details/Certificate,258th,269,Jill EcclestonFacebookTwitter,Settle Wheelers,FV40, ,04:24:20,Second, , ,3, ,01:06:37,01:26:17,02:26:45,02:54:57,03:58:15,04:24:20
Details/Certificate,259th,238,Nicholas Kinsey,De Laune,MV50, ,04:25:16,Second, , ,1, ,01:00:02,01:18:46,02:13:49,02:56:24,03:59:23,04:25:16
Details/Certificate,260th,496,Luke Solomon,U/A Pateley Bridge,M, ,04:25:19,Second, ,N,0, ,01:10:36,01:29:58,02:30:49,02:57:22,04:01:33,04:25:19
Details/Certificate,261st,583,Eamon Mcconvey,Newry Wheelers CC,MV50, ,04:25:23,Second, , ,4, ,01:06:42,01:26:48,02:25:58,02:53:45,03:57:52,04:25:23
Details/Certificate,262nd,234,Christopher Hutchings,Velo Club Venta,MV50, ,04:26:19,Second, , ,2, ,01:02:20,01:20:56,02:18:24,02:53:16,03:57:55,04:26:19
Details/Certificate,263rd,437,Daniel McQueenStrava,London Phoenix CC,MV50, ,04:26:56,Second, ,N,0, ,01:03:39,01:24:43,02:22:18,02:54:33,03:55:54,04:26:56
Details/Certificate,264th,178,Marcus Nainby,Team WNT,MV40, ,04:27:09,Second, ,N,0, ,01:11:37,01:30:45,02:32:31,02:57:56,04:01:04,04:27:09
Details/Certificate,265th,236,John. Johnson,Stratford CC / Johnsons Coaches,MV50, ,04:27:15,Second,G, ,19,P/S John & Richard Johnson,01:04:52,01:24:53,02:22:35,02:52:11,03:54:19,04:27:15
Details/Certificate,266th,458,John Wilkinson,Ilkley CC,MV50, ,04:27:32,Second, , ,1, ,01:06:24,01:28:22,02:26:28,02:56:01,03:59:12,04:27:32
Details/Certificate,267th,502,Tom RenwickStrava,Jedi Cycle Sport,MU18, ,04:27:34,Second, ,N,0, ,01:01:53,01:20:44,02:21:46,02:50:32,03:57:56,04:27:34
Details/Certificate,268th,309,Adam PridmoreFacebookTwitterStrava,U/A Wilsden,M, ,04:27:49,Second, , ,2, ,01:09:02,01:29:46,02:29:28,02:59:19,04:04:03,04:27:49
Details/Certificate,269th,365,Adam Jackson,Keswick AC,MV40, ,04:27:52,Second, , ,5, ,01:09:35,01:29:32,02:30:15,02:56:39,04:02:18,04:27:52
Details/Certificate,270th,262,Emma OsentonFacebookTwitterInstagram,Morvelo Kinesis,F, ,04:27:53,Second, , ,3, ,01:08:07,01:32:54,02:32:31,03:04:32,04:01:53,04:27:53
Details/Certificate,271st,555,Jim Truscott,Frodsham Wheelers,MV40, ,04:28:01,Second, , ,1, ,01:10:35,01:32:48,02:33:11,03:02:42,04:01:35,04:28:01
Details/Certificate,272nd,342,Edward Burkitt,Lincoln Wheelers,MV40, ,04:28:02,Second, , ,1, ,01:05:36,01:26:07,02:25:11,02:55:12,04:00:41,04:28:02
Details/Certificate,273rd,440,Graham Piccavey,Huddersfield Star Wheelers,MV50, ,04:28:39,Second, , ,4, ,01:07:22,01:29:25,02:26:42,02:57:10,04:01:40,04:28:39
Details/Certificate,274th,451,Claude Sun,Team WNT,MV50, ,04:28:41,Second, , ,1, ,01:07:19,01:27:16,02:26:25,02:53:24,04:01:43,04:28:41
Details/Certificate,275th,527,Chris Halse,U/A Sheffield,MV40, ,04:28:42,Second, ,N,0, ,01:11:42,01:32:16,02:33:26,03:01:07,04:03:35,04:28:42
Details/Certificate,276th,364,Gary JacksonFacebookStrava,Huddersfield Star Wheelers,MV40, ,04:29:12,Second, , ,3, ,01:11:39,01:31:34,02:33:31,03:00:13,04:04:05,04:29:12
Details/Certificate,277th,180,Simon NurseTwitter,Cardiff JIF,MV40, ,04:29:16,Second, , ,9, ,01:09:24,01:29:30,02:32:01,03:00:33,04:03:10,04:29:16
Details/Certificate,278th,182,Paul NuttonTwitter,Here Come The Belgians,MV40, ,04:29:32,Second, , ,2, ,01:04:18,01:20:51,02:18:11,02:50:43,03:54:22,04:29:32
Details/Certificate,279th,441,Paul Pomfret,Pedal On,MV50, ,04:29:44,Second, , ,1, ,01:07:30,01:26:51,02:27:56,02:57:48,04:04:58,04:29:44
Details/Certificate,280th,454,Tom Watt,Histon MTB,MV50, ,04:29:55,Second, , ,3, ,01:08:41,01:32:04,02:30:54,03:01:36,04:02:56,04:29:55
Details/Certificate,281st,544,Derek Queenan,East Barnby,MV40, ,04:30:04,Second, , ,5, ,01:11:40,01:32:14,02:31:50,02:58:05,04:05:19,04:30:04
Details/Certificate,282nd,482,Ben ClareFacebookTwitterStrava,U/A Leeds,M, ,04:30:17,Second, ,N,0, ,01:06:52,01:26:42,02:28:54,02:57:49,04:03:31,04:30:17
