 ,Pos,No.,Name,Club,Category,Status,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,283rd,136,Steven FreearFacebookTwitterStrava,Manchester Wheelers,MV40, ,04:30:32,Second, , ,4, ,01:05:39,01:24:43,02:24:29,02:53:00,03:53:40,04:30:32
Details/Certificate,284th,569,Timothy Evans,Harrogate Nova,MV50, ,04:30:43,Second,G, ,9,P/S Timothy Evans & Edwyn Oliver-Evans,01:12:02,01:34:15,02:35:47,03:02:43,04:06:59,04:30:43
Details/Certificate,285th,267,Hannah Saville,www.cxmagazine.com,FU23, ,04:30:50,Second,G, ,2,P/D Kev & Hannah Saville,01:08:04,01:27:06,02:25:33,03:03:34,04:05:51,04:30:50
Details/Certificate,286th,367,Stephen JefferiesInstagramStrava,Team Giant Leamington Spa,MV40, ,04:31:05,Second, ,N,0, ,01:08:26,01:29:27,02:29:28,02:59:57,04:03:55,04:31:05
Details/Certificate,287th,557,John WebbTwitterStrava,Manchester Triathlon Club,MV40, ,04:31:26,Second, ,N,0, ,01:08:06,01:28:30,02:28:38,02:57:09,04:03:54,04:31:26
Details/Certificate,288th,110,Graham Briffett,Highland Hill Runners,MV40, ,04:31:39,Second, , ,1, ,01:05:54,01:25:06,02:27:28,02:57:14,04:03:27,04:31:39
Details/Certificate,289th,443,Steve Robinson,U/A Danby Wiske N Yorks,MV50, ,04:31:42,Second, ,N,0, ,01:11:17,01:30:19,02:30:55,02:58:48,04:06:38,04:31:42
Details/Certificate,290th,490,Dan HaymanStrava,U/A Papakura New Zealand,M, ,04:31:43,Second, ,N,0, ,01:12:03,01:32:54,02:31:42,03:00:04,04:04:28,04:31:43
Details/Certificate,291st,257,Christine Fischer,Stirling Bike Club,F, ,04:31:45,Second, ,N,0, ,01:11:32,01:33:34,02:35:46,03:06:12,04:07:54,04:31:45
Details/Certificate,292nd,415,Chris Dobson,Stockton Wheelers,MV50, ,04:31:46,Second, , ,3, ,01:07:38,01:30:27,02:31:10,03:01:22,04:04:08,04:31:46
Details/Certificate,293rd,543,Martin Price,Calder Clarion,MV40, ,04:32:20,Second, , ,2, ,01:10:12,01:29:20,02:31:01,02:56:54,04:07:05,04:32:20
Details/Certificate,294th=,413,Ian Cullen,Otley CC Chevin Cyles,MV50, ,04:32:25,Second, , ,23, ,01:06:54,01:26:08,02:25:51,02:53:50,04:05:41,04:32:25
Details/Certificate,294th=,307,David Phillips,U/A Northwich,M, ,04:32:25,Second, ,N,0, ,01:08:10,01:26:28,02:24:19,02:49:23,04:02:04,04:32:25
Details/Certificate,296th,394,Laurence Tendler,WNB,MV40, ,04:32:27,Second, ,N,0, ,01:12:07,01:34:09,02:35:29,03:04:55,04:07:29,04:32:27
Details/Certificate,297th,410,David Clark,Richmond CC,MV50, ,04:32:29,Second, , ,10, ,01:10:40,01:31:07,02:33:07,03:02:59,04:06:48,04:32:29
Details/Certificate,298th,550,Mark Stirling,Ilkley CC,MV40, ,04:32:41,Second, ,N,0, ,01:10:52,01:32:01,02:34:19,03:02:01,04:06:11,04:32:41
Details/Certificate,299th,263,Maddy Robinson,Velo Club Moulin,F, ,04:32:43,Second, , ,3, ,01:11:26,01:31:14,02:34:34,03:02:50,04:09:17,04:32:43
Details/Certificate,300th=,430,Tim Lofthouse,U/A Kendal,MV50, ,04:32:47,Second, , ,4, ,01:07:45,01:27:08,02:28:12,02:55:20,04:04:34,04:32:47
Details/Certificate,300th=,498,Nick Waldron,Uttoxeter Cycle Club,M, ,04:32:47,Second, ,N,0, ,01:13:37,01:33:48,02:35:07,03:03:44,04:07:18,04:32:47
Details/Certificate,302nd,562,Colin Blacklock,U/A Northumberland,MV50, ,04:32:52,Second, ,N,0, ,01:05:29,01:26:22,02:25:53,02:56:23,04:01:26,04:32:52
Details/Certificate,303rd,313,Andrew Shrimpton,Bristol CX,M, ,04:33:11,Second, ,N,0, ,01:02:02,01:19:39,02:15:07,02:41:14,03:56:35,04:33:11
Details/Certificate,304th,202,Mark WellstedTwitterInstagram,AmisVelo RT,MV40, ,04:33:46,Second, ,N,0, ,01:03:14,01:51:07,02:47:12,03:12:45,04:10:23,04:33:46
Details/Certificate,305th,284,Rory CoxTwitter,U/A Cellardyke Fife,M, ,04:33:47,Second, ,N,0, ,01:06:07,01:26:14,02:34:05,03:02:08,04:10:00,04:33:47
Details/Certificate,306th,519,Ian Dunn,Ferryhill Wheelers CC,MV40, ,04:33:52,Second, , ,11, ,01:10:39,01:32:45,02:35:15,03:05:17,04:07:34,04:33:52
Details/Certificate,307th,423,Kevin Hickie,Bronte Wheelers,MV50, ,04:33:56,Second, , ,7, ,01:13:20,01:36:44,02:40:01,03:06:59,04:09:43,04:33:56
Details/Certificate,308th,432,Philip Mason,Otley CC,MV50, ,04:33:58,Second, , ,19, ,01:07:13,01:28:54,02:30:01,02:59:21,04:05:50,04:33:58
Details/Certificate,309th,386,Simon Shaw,U/A Knaresborough,MV40, ,04:33:59,Second, ,N,0, ,01:07:15,01:29:14,02:28:36,02:57:21,04:06:02,04:33:59
Details/Certificate,310th,356,Julian Green,Team Chubba Racing,MV40, ,04:34:01,Second, , ,1, ,01:09:53,01:30:08,02:34:55,03:02:00,04:08:07,04:34:01
Details/Certificate,311th,275,Nicola Davies,Beacon Wheelers,FV50, ,04:34:04,Second, , ,8, ,01:07:41,01:28:11,02:30:10,03:01:04,04:05:46,04:34:04
Details/Certificate,312th,187,Andy Proffitt,Ipswich Bicycle Club,MV40, ,04:34:21,Second, ,N,0, ,01:06:11,01:29:06,02:28:15,03:00:06,04:03:09,04:34:21
Details/Certificate,313th,209,Ed WolstenholmeInstagram,Holmfirth Cycling Club,MV40, ,04:34:26,Second, ,N,0, ,01:07:34,01:24:08,02:24:56,03:18:10,04:11:11,04:34:26
Details/Certificate,314th,425,Jon Howard,Wakefield Triathlon Club,MV50, ,04:34:27,Second, , ,4, ,01:09:00,01:30:47,02:32:59,03:03:27,04:07:50,04:34:27
Details/Certificate,315th,329,Michael Parry,Welwyn Wheelers,MU18, ,04:34:28,Second, ,N,0, ,01:06:49,01:39:23,02:42:20,03:09:58,04:06:46,04:34:28
Details/Certificate,316th,335,Mark Beaumont,Hope Factory Racing,MV40, ,04:34:58,Second, , ,2, ,01:09:11,01:28:23,02:30:50,02:59:42,04:10:27,04:34:58
Details/Certificate,317th,406,Graham Bird,Wharfedale Harriers,MV50, ,04:35:27,Second, , ,8, ,01:09:27,01:32:04,02:32:39,03:01:45,04:07:43,04:35:27
Details/Certificate,318th,378,Keith Pitcher,Muddy Funsters,MV40, ,04:35:28,Second, ,N,0, ,01:09:05,01:29:21,02:30:45,03:00:53,04:08:24,04:35:28
Details/Certificate,319th,393,James TateTwitterStrava,U/A Ben Rhydding Ilkey,MV40, ,04:35:36,Second, , ,2, ,01:10:22,01:31:59,02:33:04,03:01:46,04:08:02,04:35:36
Details/Certificate,320th,357,George Hackney,Lincoln Velo Club,MV40, ,04:35:37,Second, , ,4, ,01:09:54,01:31:45,02:35:14,03:04:26,04:10:17,04:35:37
Details/Certificate,321st,363,Will Hutchins,Tri-Logic Cornwall,MV40, ,04:35:40,Second, ,N,0, ,01:13:23,01:36:00,02:38:45,03:07:25,04:09:18,04:35:40
Details/Certificate,322nd,576,Owen Henriksen,Norton Wheelers,MV50, ,04:36:23,Second, , ,8, ,01:08:46,01:27:33,02:33:46,03:00:52,04:12:48,04:36:23
Details/Certificate,323rd,450,Michael Spencer,U/A Scunthorpe,MV50, ,04:36:41,Second, , ,6, ,01:10:16,01:31:59,02:34:13,03:06:13,04:09:58,04:36:41
Details/Certificate,324th,171,Michael Miach,Imperial Race Team,MV40, ,04:36:43,Second, , ,1, ,01:09:37,01:31:39,02:35:43,03:06:25,04:09:33,04:36:43
Details/Certificate,325th,384,Christopher Riley,Will's Wheels CC,MV40, ,04:36:46,Second, , ,12, ,01:13:33,01:34:59,02:36:57,03:06:56,04:10:37,04:36:46
Details/Certificate,326th,105,Richard BellStrava,Leicester Forest CC,MV40, ,04:36:57,Second, , ,1, ,01:08:26,01:27:14,02:29:04,02:56:45,04:09:38,04:36:57
Details/Certificate,327th,310,Kevin PughFacebookTwitterStrava,Ayr Burners Cycling Club,M, ,04:37:33,Second, , ,1, ,01:10:01,01:30:29,02:31:19,03:01:12,04:10:05,04:37:33
Details/Certificate,328th,339,Andrew Bonwick,Basildon CC,MV40, ,04:37:35,Second, ,N,0, ,01:09:41,01:32:42,02:31:47,03:03:52,04:07:08,04:37:35
Details/Certificate,329th,337,Stuart Blackburn,Seacroft Wheelers,MV40, ,04:37:37,Second, , ,25, ,01:05:48,01:24:55,02:35:52,03:03:55,04:11:32,04:37:37
Details/Certificate,330th,377,Ivan Oxborough,U/A Lincoln,MV40, ,04:37:39,Second, , ,3, ,00:58:59,01:17:04,02:10:18,02:51:01,03:48:53,04:37:39
Details/Certificate,331st,513,Chris Crabtree,Hope Factory Racing,MV40, ,04:37:43,Second, , ,3, ,01:11:29,01:31:41,02:35:26,03:01:53,04:12:36,04:37:43
Details/Certificate,332nd,217,Keith Binns,Wharfedale Harriers,MV50, ,04:38:15,Second, , ,2, ,01:06:01,01:29:19,02:28:51,02:58:28,04:08:35,04:38:15
Details/Certificate,333rd,565,Andrew BurgessTwitter,Team JMC,MV50, ,04:38:17,Second, , ,5, ,01:14:38,01:35:28,02:39:24,03:07:35,04:12:16,04:38:17
Details/Certificate,334th,548,Peter Spencer,U/A Quakerbridge Lancs,MV40, ,04:38:36,Second, , ,5, ,01:09:46,01:30:14,02:33:49,03:03:01,04:11:13,04:38:36
Details/Certificate,335th,524,Jonathan Grigg,Fareham Wheelers,MV40, ,04:38:46,Second, ,N,0, ,01:12:50,01:34:19,02:37:21,03:07:08,04:12:43,04:38:46
Details/Certificate,336th,184,Ben Patton,Deeside Thistle Cycling Club,MV40, ,04:39:04,Second, , ,4, ,01:01:50,01:22:28,02:17:33,03:03:31,04:11:21,04:39:04
Details/Certificate,337th,421,Gary Hardie,Cyclewise Altura,MV50, ,04:39:28,Second, , ,11, ,01:10:51,01:33:33,02:37:17,03:08:34,04:13:43,04:39:28
Details/Certificate,338th,316,Tim Spooner,Ilkley Cycles Race Team,M, ,04:39:40,Second, ,N,0, ,01:12:13,01:30:06,02:36:35,03:03:28,04:17:20,04:39:40
Details/Certificate,339th,505,Andrew Armstrong,Clayton le moors,MV40, ,04:40:08,Second, ,N,0, ,01:12:23,01:32:17,02:35:17,03:09:24,04:13:10,04:40:08
Details/Certificate,340th,503,Simon Timmins,Hetton Hawks,MU18, ,04:40:37,Second, ,N,0, ,01:04:16,01:26:35,02:24:22,03:03:41,04:08:42,04:40:37
Details/Certificate,341st,554,Brian Tomlinson,U/A Bristol,MV40, ,04:40:38,Second, ,N,0, ,01:11:13,01:32:51,02:35:54,03:07:28,04:13:31,04:40:38
Details/Certificate,342nd,332,Alan Abbott,Keighley & Craven AC,MV40, ,04:40:42,Second, ,N,0, ,01:08:38,01:29:42,02:34:01,03:04:18,04:11:14,04:40:42
Details/Certificate,343rd,593,Brian Swindell,Derby Mercury,MV50, ,04:40:43,Second, ,N,0, ,01:05:45,01:27:01,02:35:20,02:58:07,04:06:10,04:40:43
Details/Certificate,344th,412,Paul Crotty,Tyneside Vagabonds,MV50, ,04:40:50,Second, , ,1, ,01:10:31,01:33:28,02:35:20,03:06:28,04:11:28,04:40:50
Details/Certificate,345th,446,Kev Saville,Norton Wheelers,MV50, ,04:40:51,Second,G, ,7,P/D Kev & Hannah Saville,01:09:19,01:31:46,02:31:10,03:03:42,04:10:55,04:40:51
Details/Certificate,346th,268,Jill Dawes,Kendal CC,FV40, ,04:40:56,Second, , ,1, ,01:10:43,01:32:57,02:35:59,03:07:11,04:13:20,04:40:56
Details/Certificate,347th,526,David Hadsley,Cycle Club Ashwell,MV40, ,04:41:14,Second, ,N,0, ,01:10:09,01:31:02,02:34:37,03:06:22,04:12:28,04:41:14
Details/Certificate,348th,353,Nick Elder,U/A Petit Bornand  Haute Savoir France,MV40, ,04:41:46,Second, , ,8, ,01:13:06,01:34:17,02:41:04,03:11:56,04:15:48,04:41:46
Details/Certificate,349th,520,John Egan,Wharfedale Harriers,MV40, ,04:42:09,Second, , ,8, ,01:12:21,01:32:11,02:37:01,03:06:24,04:16:34,04:42:09
Details/Certificate,350th,390,Andy Stewart,Cafe Ride Cycle Club,MV40, ,04:42:31,Second, ,N,0, ,01:09:03,01:29:40,02:34:58,03:06:36,04:15:53,04:42:31
Details/Certificate,351st=,392,Ben Still,Overoptimist,MV40, ,04:43:05,Second, , ,3, ,01:05:16,01:26:13,02:24:29,03:05:44,04:14:33,04:43:05
Details/Certificate,351st=,270,Ruth Gamwell,Macclesfield Wheelers,FV40, ,04:43:05,Second, , ,17, ,01:12:25,01:33:59,02:44:47,03:14:34,04:17:51,04:43:05
Details/Certificate,353rd,407,John BoothmanFacebook,Barlick Fell Runners,MV50, ,04:43:09,Second, , ,1, ,01:11:03,01:31:01,02:36:00,03:05:49,04:16:12,04:43:09
Details/Certificate,354th,504,Giles Aldridge,U/A Camberley Surrey,MV40, ,04:43:38,Second, ,N,0, ,01:13:25,01:36:02,02:39:14,03:11:01,04:16:08,04:43:38
Details/Certificate,355th,372,Mike LynchFacebookTwitterStrava,Carnethy,MV40, ,04:43:40,Second, , ,1, ,01:10:20,01:31:23,02:31:42,03:04:03,04:13:55,04:43:40
Details/Certificate,356th,449,Andrew Simpson,Doncaster Wheelers CC,MV50, ,04:43:57,Second, , ,1, ,01:09:08,01:29:33,02:36:14,03:06:33,04:16:16,04:43:57
Details/Certificate,357th,517,Sam Dobson,Fifty Four Eleven RT,MV40, ,04:44:41,Second, ,N,0, ,01:08:33,01:28:03,02:34:00,03:04:00,04:17:11,04:44:41
Details/Certificate,358th,579,Mark Hudson,Hope Factory Racing,MV50, ,04:44:56,Second, ,N,0, ,01:12:34,01:34:06,02:39:41,03:10:02,04:17:36,04:44:56
Details/Certificate,359th,318,James Tiffany,U/A Otley,M, ,04:45:15,Second, ,N,0, ,01:07:22,01:28:42,02:31:37,03:02:15,04:09:50,04:45:15
Details/Certificate,360th,295,Tom Hebditch,VCUK PH-MAS Cycling Team,M, ,04:45:16,Second, ,N,0, ,01:07:26,01:29:12,02:32:30,03:02:13,04:14:58,04:45:16
Details/Certificate,361st,447,Richard SeippFacebookTwitterInstagram,Team JMC,MV50, ,04:45:21,Second, , ,5, ,01:14:03,01:35:29,02:40:32,03:07:57,04:19:09,04:45:21
Details/Certificate,362nd,477,Anne Duffy,Cuchulainn CC,FV50, ,04:45:22,Second, ,N,0, ,01:15:53,01:38:20,02:44:43,03:13:54,04:20:38,04:45:22
Details/Certificate,363rd,128,Steven DrewFacebookTwitterInstagram,London Phoenix CC,MV40, ,04:45:35,Second, ,N,0, ,01:08:39,01:33:14,02:34:57,03:10:17,04:12:13,04:45:35
Details/Certificate,364th,243,Mark Murphy,Bray Wheelers  Ireland,MV50, ,04:45:38,Second, ,N,0, ,00:58:40,01:22:39,02:13:49,02:45:18,03:50:40,04:45:38
Details/Certificate,365th,293,Chris Harrison,U/A Newcastle,M, ,04:45:45,Second, ,N,0, ,01:13:14,01:35:49,02:40:32,03:10:33,04:19:43,04:45:45
Details/Certificate,366th,522,Dan Gibson,U/A Manchester,MV40, ,04:46:03,Second, , ,1, ,01:11:33,01:32:15,02:35:41,03:13:05,04:20:31,04:46:03
Details/Certificate,367th,303,Thomas Morris,U/A Otley,M, ,04:46:08,Second, ,N,0, ,01:10:15,01:35:21,02:34:29,03:06:32,04:12:55,04:46:08
Details/Certificate,368th,574,Donald Gray,Cardiff JIF/ Cyclopaedia,MV50, ,04:46:23,Second, , ,7, ,01:13:34,01:37:11,02:40:56,03:13:50,04:17:56,04:46:23
Details/Certificate,369th,343,Dave Burns,TNFC,MV40, ,04:46:52,Second, , ,2, ,01:10:55,01:33:57,02:37:19,03:08:39,04:19:15,04:46:52
Details/Certificate,370th,530,Julian Holroyd,Huddersfield Star Wheelers,MV40, ,04:46:59,Second, ,N,0, ,01:12:22,01:35:19,02:39:17,03:13:52,04:20:12,04:46:59
Details/Certificate,371st,351,Ian Drake,Ashfield RC,MV40, ,04:47:37,Second, , ,11, ,01:09:40,01:29:45,02:39:41,03:21:02,04:23:36,04:47:37
Details/Certificate,372nd,371,Mark Ludiman,Sowerby Sunday Club,MV40, ,04:47:45,Second, , ,2, ,01:15:42,01:37:23,02:45:21,03:13:27,04:23:27,04:47:45
Details/Certificate,373rd,405,Richard Ballantine,Craven Energy,MV50, ,04:47:49,Second, , ,7, ,01:12:37,01:35:39,02:42:37,03:12:29,04:20:07,04:47:49
Details/Certificate,374th,567,Paul Dann,Velo Club Lincoln,MV50, ,04:48:04,Second, , ,6, ,01:11:47,01:35:51,02:42:13,03:15:43,04:20:27,04:48:04
Details/Certificate,375th,291,Daniel Ginesi,Saddle Skedaddle,M, ,04:48:05,Second, , ,1, ,01:11:09,01:30:16,02:38:17,03:11:13,04:23:56,04:48:05
Details/Certificate,376th,545,Jonathan Robinson,Skipton Cycling Club,MV40, ,04:48:32,Second, , ,2, ,01:13:01,01:34:36,02:39:42,03:09:57,04:19:28,04:48:32
Details/Certificate,377th,478,Janet Marsden,Warwickshire Police CC,FV50, ,04:49:38,Second, , ,1, ,01:11:04,01:33:23,02:40:56,03:13:08,04:21:42,04:49:38
Details/Certificate,378th,261,Adeline MoreauTwitterInstagramStrava,The 5th Floor,F, ,04:49:43,Second, ,N,0, ,01:12:11,01:36:12,02:39:29,03:12:14,04:17:46,04:49:43
Details/Certificate,379th,531,Stuart Hull,East Bradford CC,MV40, ,04:49:44,Second, , ,1, ,01:16:01,01:38:34,02:44:47,03:13:48,04:23:47,04:49:44
Details/Certificate,380th,344,Phil Carpenter,U/A Cheltenham,MV40, ,04:50:00,Second, , ,3, ,01:11:55,01:32:06,02:33:49,03:09:12,04:21:24,04:50:00
Details/Certificate,381st,601,Stephen Gath,Selby CC,MV60, ,04:50:07,Second,G, ,24,P/S Stephen & Craig Gath,01:14:21,01:37:48,02:41:52,03:13:15,04:21:30,04:50:07
Details/Certificate,382nd,624,Russel Thornton,U/A Padiham,M, ,04:50:08,Second, ,N,0, ,01:11:08,01:28:59,02:33:31,03:07:26,04:24:27,04:50:08
Details/Certificate,383rd,264,Clare Ross,5th Floor CC,F, ,04:50:09,Second, ,N,0, ,01:13:12,01:36:43,02:41:31,03:15:45,04:21:25,04:50:09
Details/Certificate,384th,483,Nick Clayton,Dyson Cycles,M, ,04:50:11,Second, ,N,0, ,01:14:41,01:37:27,02:43:51,03:15:47,04:23:45,04:50:11
Details/Certificate,385th,348,Vincent Cox,Team Empella / cyclo-cross.com,MV40, ,04:50:31,Second, , ,11, ,01:17:10,01:38:14,02:48:53,03:17:13,04:26:38,04:50:31
Details/Certificate,386th,621,Matthew Burton,Stockton Wheelers,M, ,04:50:38,Second, ,N,0, ,01:10:33,01:31:10,02:34:06,03:15:30,04:25:33,04:50:38
Details/Certificate,387th,486,Richard DearingFacebookInstagramStravaPower Of Ten,Velo Club Beverley,M, ,04:51:10,Second, ,N,0, ,01:13:08,01:35:35,02:43:03,03:13:17,04:22:28,04:51:10
Details/Certificate,388th,414,Jeff Cummings,Homegrown Racing  USA,MV50, ,04:51:12,Second, ,N,0, ,01:01:50,01:22:03,02:19:32,02:49:25,03:50:35,04:51:12
Details/Certificate,389th,587,Andrew Moxon,Otley CC Chevin Cyles,MV50, ,04:51:15,Second, , ,8, ,01:11:52,01:32:49,02:38:24,03:08:47,04:20:16,04:51:15
Details/Certificate,390th,388,Dave Spragg,Kingston Wheelers,MV40, ,04:51:17,Second, ,N,0, ,01:10:03,01:33:53,02:36:14,03:08:52,04:15:18,04:51:17
Details/Certificate,391st,306,Andrew James Parker,Lune RCC,M, ,04:51:32,Second, ,N,0, ,01:13:48,01:34:25,02:42:44,03:11:41,04:24:38,04:51:32
Details/Certificate,392nd,461,Richard Sewell,Cycleworks,MV60, ,04:51:33,Second, , ,7, ,01:12:59,01:35:44,02:44:22,03:16:31,04:25:51,04:51:33
Details/Certificate,393rd,539,Scott-A Mckendrick,Advertisign Direct,MV40, ,04:51:59,Second, ,N,0, ,01:16:18,01:38:26,02:41:49,03:11:42,04:25:18,04:51:59
Details/Certificate,394th,389,Craig Standage,Cardiff JIF/ Cyclopaedia,MV40, ,04:52:42,Second, , ,6, ,01:14:03,01:33:05,02:43:20,03:12:57,04:28:27,04:52:42
Details/Certificate,395th,17,Ben Cooper,Bill Hargreaves Cycles / Batley CC,M, ,04:52:56,Second, , ,4, ,00:54:54,01:11:20,02:11:56,02:51:27,03:50:40,04:52:56
Details/Certificate,396th,333,Kevin Allen,Scarborough Paragon CC,MV40, ,04:53:12,Second, , ,2, ,01:12:38,01:37:01,02:41:33,03:14:16,04:24:53,04:53:12
Details/Certificate,397th,597,Mark Whitaker,Todmorden Harriers,MV50, ,04:53:33,Second, , ,13, ,01:16:10,01:38:46,02:45:34,03:16:11,04:27:08,04:53:33
Details/Certificate,398th,578,Ian Horne,U/A Penrith,MV50, ,04:53:37,Second, ,N,0, ,01:13:57,01:36:06,02:42:48,03:14:33,04:26:05,04:53:37
Details/Certificate,399th,582,Adrian LordTwitterStrava,Condor Road Club,MV50, ,04:54:48,Second, , ,6, ,01:15:49,01:39:28,02:46:15,03:18:33,04:28:27,04:54:48
Details/Certificate,400th,453,Charles Warren,U/A Harrogate,MV50, ,04:55:33,Second, , ,6, ,01:07:38,01:27:38,02:35:26,03:11:47,04:18:20,04:55:33
Details/Certificate,401st,493,Liam Owen,North Wales Cyclocross Group/ Chester RC,M, ,04:55:56,Second, ,N,0, ,01:13:40,01:36:04,02:43:03,03:14:28,04:26:35,04:55:56
Details/Certificate,402nd,604,Terence O'Neill,EPIC MTB  Ireland,MV60, ,04:55:59,Second, ,N,0, ,01:13:41,01:38:37,02:43:54,03:16:28,04:25:45,04:55:59
Details/Certificate,403rd,594,Philip Wadsworth,Swaledale Outdoor Cub,MV50, ,04:56:24,Second, , ,6, ,01:14:54,01:37:19,02:45:28,03:16:23,04:26:57,04:56:24
Details/Certificate,404th,469,Sally Buckworth,U/A Guisborough,FV40, ,04:56:57,Second, ,N,0, ,01:17:31,01:41:17,02:50:53,03:22:53,04:30:13,04:56:57
Details/Certificate,405th,566,James Cullen,Otley CC Chevin Cyles,MV50, ,04:57:34,Second, , ,4, ,01:11:29,01:37:07,02:41:32,03:16:36,04:23:14,04:57:34
Details/Certificate,406th,546,Steve Santana,U/A New Mills,MV40, ,04:57:50,Second, , ,2, ,01:15:23,01:37:28,02:46:33,03:17:04,04:30:43,04:57:50
Details/Certificate,407th,639,Charles Gray,Manchester Wheelers,MV50, ,04:58:48,Second, ,N,0, ,01:14:11,01:37:44,02:44:35,03:16:59,04:28:02,04:58:48
Details/Certificate,408th,538,Douglas Malcolm,Royal Air Force CC,MV40, ,04:58:53,Second, ,N,0, ,01:16:09,01:39:06,02:45:55,03:21:08,04:28:57,04:58:53
Details/Certificate,409th,644,Robert Salaman,U/A Clitheroe,MV50, ,04:58:55,Second, ,N,0, ,01:14:20,01:35:35,02:43:49,03:18:26,04:30:59,04:58:55
Details/Certificate,410th,494,Robin Powell,Tracs UK,M, ,04:59:15,Second, ,N,0, ,01:13:07,01:33:45,02:44:52,03:17:31,04:32:36,04:59:15
Details/Certificate,411th,462,Peter Walkington,Kent Valley Road Club,MV70, ,04:59:21,Second, , ,28, ,01:15:09,01:39:34,02:46:12,03:19:42,04:30:57,04:59:21
Details/Certificate,412th,457,Andy Whitworth,Huddersfield RC / Salamander Fabrications,MV50, ,04:59:36,Second, , ,23, ,01:10:30,01:34:41,02:42:07,03:18:52,04:28:15,04:59:36
Details/Certificate,413th,349,Pete Crossley,Meridian Triathlon Club,MV40, ,04:59:37,Second, ,N,0, ,01:13:48,01:37:17,02:44:25,03:16:59,04:28:59,04:59:37
Details/Certificate,414th,495,Pete Robson,U/A London,M, ,05:00:16,Merit, ,N,0, ,01:14:33,01:40:58,02:47:53,03:23:46,04:31:06,05:00:16
Details/Certificate,415th,628,Simon Galloway,U/A Pudsey,MV40, ,05:00:19,Merit, ,N,0, ,01:10:13,01:37:22,02:39:18,03:17:16,04:24:53,05:00:19
Details/Certificate,416th,511,Gareth Chislett,CC Blaenau Gwent,MV40, ,05:00:51,Merit, , ,2, ,01:18:07,01:41:45,02:48:09,03:21:02,04:30:10,05:00:51
Details/Certificate,417th,464,Georgina PanchaudFacebookTwitterInstagramStrava,Bikeshed-Bianci,F, ,05:00:55,Merit, , ,1, ,01:11:38,01:37:43,02:41:50,03:20:57,04:25:20,05:00:55
Details/Certificate,418th,580,Jim Londesborough,U/A Swadlincote,MV50, ,05:01:00,Merit, , ,5, ,01:17:56,01:42:18,02:49:24,03:20:57,04:33:14,05:01:00
Details/Certificate,419th,603,Chris Oldham,Hope Factory Racing,MV60, ,05:01:07,Merit,G, ,17,P/S Chris & Paul Oldham,01:16:08,01:42:30,02:49:29,03:25:38,04:32:16,05:01:07
Details/Certificate,420th,438,Andrew Mcwhirter,U/A Kirkby Stephen,MV50, ,05:01:27,Merit, , ,1, ,01:15:07,01:37:53,02:44:54,03:18:34,04:21:41,05:01:27
Details/Certificate,421st,642,Antony Mawson,AlbaRosa CC,MV50, ,05:01:31,Merit, ,N,0, ,01:16:25,01:41:41,02:48:07,03:24:02,04:33:59,05:01:31
Details/Certificate,422nd,300,Adam JohnsonTwitter,Team Monkey Mafia,M, ,05:01:35,Merit, ,N,0, ,01:16:02,01:37:06,02:49:16,03:21:36,04:35:03,05:01:35
