,Pos,No.,Name,Club,Category,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,1st,1,Paul Oldham,Hope Factory Racing,MV40,03:06:16,Elite,G, ,14,P/S Chris & Paul Oldham,00:46:40,01:00:20,01:43:16,02:01:29,02:46:41,03:06:16
Details/Certificate,2nd,235,David Mirfield,U/A Colne,M,03:09:45,Elite, , ,4, ,00:49:28,01:02:07,01:47:58,02:05:19,02:53:00,03:09:45
Details/Certificate,3rd,218,Alexander Forrester,zepnat.com,M,03:10:25,Elite, , ,16, ,00:47:49,01:02:20,01:47:01,02:05:06,02:52:24,03:10:25
Details/Certificate,4th,365,Adrian Lansley,Pedalon,MV40,03:12:30,Elite, , ,3, ,00:47:16,01:02:06,01:48:52,02:07:35,02:54:35,03:12:30
Details/Certificate,5th,130,Gary MacdonaldFacebookStrava,Hope Factory Racing,M,03:12:47,Elite, , ,4, ,00:49:57,01:02:40,01:50:26,02:07:36,02:55:07,03:12:47
Details/Certificate,6th,154,Giles DrakeFacebookTwitterInstagramStrava,Leisure Lakes Bikes.Com,M,03:14:03,Elite, ,N,0, ,00:46:55,01:01:53,01:46:58,02:11:05,02:53:15,03:14:03
Details/Certificate,7th,380,Nick Craig,SCOTT-UK,MV40,03:15:19,Elite, , ,18, ,00:48:24,01:01:55,01:46:02,02:08:31,02:55:31,03:15:19
Details/Certificate,8th,202,Jonathan Pugh,The Bulls,M,03:15:37,Elite, , ,2, ,00:48:25,01:02:00,01:47:51,02:06:13,02:56:13,03:15:37
Details/Certificate,9th,282,Ben BardsleyTwitterStrava,Cyclewise Altura,MV40,03:19:30,Elite, , ,9, ,00:48:55,01:03:19,01:49:33,02:08:45,02:59:36,03:19:30
Details/Certificate,10th,243,Thomas Zahnd,U/A Switzerland,M,03:20:25,Elite, ,N,0, ,00:49:31,01:03:41,01:51:25,02:12:41,03:00:05,03:20:25
Details/Certificate,11th,150,Jonathan Dennis,Kibosh,M,03:22:12,Elite, ,N,0, ,00:50:19,01:06:37,01:52:21,02:13:14,03:01:52,03:22:12
Details/Certificate,12th,213,Lewis Craven,Wheelbase Altura MGD,M,03:23:31,Elite, , ,11, ,00:48:30,01:01:51,01:50:05,02:09:03,03:02:28,03:23:31
Details/Certificate,13th,178,Neil PhillipsTwitterInstagramStrava,Rapha Cycling Club,M,03:23:40,Elite, , ,2, ,00:50:54,01:06:33,01:54:34,02:14:38,03:04:30,03:23:40
Details/Certificate,14th,170,Sam AllenInstagram,Pedalon,M,03:23:43,Elite, ,N,0, ,00:49:59,01:05:49,01:53:50,02:14:38,03:04:46,03:23:43
Details/Certificate,15th,270,Ian Taylor,C & N Cycles,MV40,03:24:32,Elite, , ,18, ,00:49:24,01:02:02,01:50:16,02:11:34,03:05:14,03:24:32
Details/Certificate,16th,604,Tim Gould,zepnat.com,MV50,03:24:39,Elite, , ,12, ,00:50:23,01:05:58,01:54:09,02:14:01,03:05:25,03:24:39
Details/Certificate,17th,160,Nick Williamson,Midlothian Velo sportive,M,03:25:00,Elite, , ,2, ,00:52:55,01:07:24,01:55:46,02:14:45,03:06:16,03:25:00
Details/Certificate,18th,97,John Whittington,BGCC,M,03:25:41,Elite, , ,1, ,00:50:41,01:05:20,01:53:50,02:14:30,03:04:04,03:25:41
Details/Certificate,19th,389,Simon Rodgers,Shibden CC,MV40,03:26:16,Elite, , ,9, ,00:50:12,01:05:24,01:53:20,02:13:20,03:03:26,03:26:16
Details/Certificate,20th,388,Andrew PeaceFacebook,Shibden CC,MV40,03:27:01,Elite, , ,21, ,00:50:02,01:04:41,01:53:19,02:13:05,03:06:22,03:27:01
Details/Certificate,21st,66,Tom Martin,Wheelbase Altura MGD,MU23,03:28:13,Elite, ,N,0, ,00:49:33,01:04:52,01:52:18,02:13:00,03:07:08,03:28:13
Details/Certificate,22nd,175,David Beskeen,Psyclewerx,M,03:28:45,Elite, , ,3, ,00:52:42,01:08:20,01:57:10,02:17:24,03:09:10,03:28:45
Details/Certificate,23rd,121,Simon Richardson,Global Cycling Network,M,03:28:47,Elite, , ,1, ,00:52:41,01:07:24,01:58:50,02:18:35,03:09:29,03:28:47
Details/Certificate,24th,276,Robert Hope,Chorley Cycling Club,MV40,03:28:49,Elite, , ,4, ,00:49:15,01:04:51,01:53:20,02:14:51,03:07:00,03:28:49
Details/Certificate,25th,434,Daniel Alexander,zepnat.com,MV40,03:29:00,Elite, , ,9, ,00:51:52,01:08:09,01:56:42,02:17:50,03:07:42,03:29:00
Details/Certificate,26th,412,Ryan Stockton,TNFC,MV40,03:29:05,Elite, , ,1, ,00:52:52,01:07:27,01:57:12,02:16:34,03:09:56,03:29:05
Details/Certificate,27th,166,Ryan HenryFacebook,Numplumz MTB / Oakham Sports Massage,M,03:29:15,Elite, , ,7, ,00:55:29,01:09:23,02:00:26,02:18:36,03:11:14,03:29:15
Details/Certificate,28th,294,Benjamin Lewis,Forest Side Riders,MV40,03:29:52,Elite, , ,8, ,00:53:09,01:07:17,01:57:34,02:16:22,03:10:25,03:29:52
Details/Certificate,29th,248,Stefan Macina,Aurelius Cycles,MV40,03:30:12,First, , ,12, ,00:53:11,01:08:23,01:58:07,02:18:31,03:10:08,03:30:12
Details/Certificate,30th,217,Andrew Boyd,zepnat.com,M,03:30:13,First, ,N,0, ,00:55:20,01:10:46,02:00:16,02:20:13,03:11:02,03:30:13
Details/Certificate,31st,255,Dan Whitehead,Bike Station Ballater,MV40,03:30:16,First, , ,9, ,00:49:20,01:02:53,01:53:02,02:12:40,03:09:19,03:30:16
Details/Certificate,32nd,382,Kris LapereInstagram,SCOTT-UK,,,,,,,,,,,,,
Details/Certificate,33rd,85,Hamish Fletcher-Cooney,All Terrain Cycles Ride in Peace,M,03:32:20,First, , ,2, ,00:52:14,01:04:34,01:55:12,02:15:05,03:10:43,03:32:20
Details/Certificate,34th,267,Adrian Lawrence,C & N Cycles,MV40,03:33:00,First, , ,4, ,00:54:04,01:09:43,02:00:47,02:21:33,03:13:35,03:33:00
Details/Certificate,35th,142,Ted Mason,Ilkley Cycles,M,03:33:11,First, , ,3, ,00:53:58,01:08:20,01:58:43,02:18:03,03:13:07,03:33:11
Details/Certificate,36th,96,Graham WadsworthTwitter,BGCC,M,03:33:59,First, ,N,0, ,00:54:07,01:10:22,02:00:32,02:21:41,03:13:01,03:33:59
Details/Certificate,37th,172,Christopher Minter,Pedalon,M,03:35:09,First, , ,1, ,00:55:46,01:11:39,02:02:35,02:23:06,03:15:45,03:35:09
Details/Certificate,38th,156,Scott Chalmers,Magspeed Racing,M,03:35:15,First, , ,3, ,00:52:26,01:08:54,02:00:14,02:21:36,03:13:12,03:35:15
Details/Certificate,39th,138,Thomas Randall,Huddersfield Star Wheelers,M,03:35:47,First, , ,18, ,00:53:13,01:08:23,01:58:25,02:18:40,03:14:32,03:35:47
Details/Certificate,40th,199,Mirko Pfau,Team WNT,M,03:36:05,First, , ,2, ,00:51:06,01:06:31,01:55:52,02:22:43,03:16:00,03:36:05
Details/Certificate,41st,226,Matthew Fretwell,U/A Ingleton,M,03:36:33,First, , ,6, ,00:54:34,01:07:33,02:01:49,02:20:46,03:17:01,03:36:33
Details/Certificate,42nd,155,Simon Harding,Macclesfield Harriers,M,03:37:10,First, , ,7, ,00:52:53,01:07:49,01:58:38,02:19:29,03:14:18,03:37:10
Details/Certificate,43rd,309,Dave HaygarthFacebookTwitterInstagramStrava,Here Come The Belgians,MV40,03:37:33,First, , ,18, ,00:53:16,01:07:00,01:58:01,02:17:33,03:12:55,03:37:33
Details/Certificate,44th,135,Sam Watson,Hope Factory Racing,M,03:37:40,First, , ,3, ,00:55:24,01:11:03,02:01:51,02:22:58,03:16:46,03:37:40
Details/Certificate,45th,318,Mike MooneyTwitterInstagram,Hub Velo,MV40,03:38:12,First, , ,2, ,00:54:43,01:10:25,02:00:51,02:21:36,03:16:44,03:38:12
Details/Certificate,46th,581,Ian Holmes,Shibden CC,MV50,03:38:33,First, , ,17, ,00:53:46,01:08:20,01:59:38,02:20:42,03:16:07,03:38:33
Details/Certificate,47th,69,William Weatherill,Hope Factory Racing,MU23,03:38:47,First,G, ,1,P/S Ian & William Weatherill,00:56:45,01:11:45,02:05:48,02:26:06,03:19:02,03:38:47
Details/Certificate,48th,115,Peter Davies,Dark Peak Fell Runners,M,03:39:10,First, , ,1, ,00:57:03,01:13:07,02:03:58,02:26:41,03:19:11,03:39:10
Details/Certificate,49th=,386,Richard Greenep,Settle Wheelers,MV40,03:39:20,First, , ,4, ,00:55:53,01:11:19,02:03:08,02:24:18,03:19:36,03:39:20
Details/Certificate,49th=,151,Chirs Bailey,KTM Impsport RT,M,03:39:20,First, ,N,0, ,00:56:46,01:13:26,02:04:39,02:25:55,03:19:10,03:39:20
Details/Certificate,51st,376,Richard Groenendaal,RGTC,,,,,,,,,,,,,
Details/Certificate,52nd,399,Phil SimcockTwitter,Team JMC,MV40,03:40:01,First, , ,6, ,00:54:49,01:10:19,02:01:02,02:23:50,03:19:35,03:40:01
Details/Certificate,53rd,430,James Waddington,X-Bionic / Velosport Team,MV40,03:40:54,First, , ,1, ,00:54:07,01:09:51,02:00:42,02:22:23,03:19:18,03:40:54
Details/Certificate,54th,329,Doug Hart,Ilkley CC,MV40,03:40:55,First, , ,11, ,00:53:42,01:09:20,02:00:42,02:21:31,03:20:18,03:40:55
Details/Certificate,55th,358,Nicholas Whitley,North Wales Cyclocross / Chester RC,MV40,03:41:10,First, , ,2, ,00:52:04,01:07:27,01:56:43,02:22:39,03:20:25,03:41:10
Details/Certificate,56th,65,Callum Macleod,Pedalon,MU18,03:42:06,First, ,N,0, ,00:57:05,01:11:40,02:05:38,02:26:27,03:21:46,03:42:06
Details/Certificate,57th,379,Ian PalmerInstagram,Santacruz,MV40,03:42:29,First, ,N,0, ,00:57:16,01:13:29,02:05:22,02:25:55,03:21:47,03:42:29
Details/Certificate,58th=,125,Paul Upton,Helm Hill Runners,M,03:42:40,First, , ,1, ,00:55:03,01:11:02,02:02:21,02:23:27,03:21:41,03:42:40
Details/Certificate,58th=,459,Mat Livesey,U/A Silverdale,MV40,03:42:40,First, , ,3, ,00:54:13,01:10:57,02:02:23,02:24:10,03:21:52,03:42:40
Details/Certificate,60th,616,Paul MassonTwitterInstagram,U/A Aviemore,MV50,03:43:22,First, , ,1, ,00:56:47,01:13:36,02:05:47,02:28:25,03:21:22,03:43:22
Details/Certificate,61st,84,Matthew Grimshaw,AlbaRosa CC,M,03:43:26,First, ,N,0, ,00:55:41,01:11:34,02:04:47,02:26:54,03:22:55,03:43:26
Details/Certificate,62nd,225,Richard Firth,U/A Leeds,M,03:43:56,First, , ,2, ,00:55:04,01:10:53,02:01:42,02:21:31,03:22:29,03:43:56
Details/Certificate,63rd,441,Robert CarrFacebook,U/A Skipton,MV40,03:44:39,First, , ,3, ,00:54:55,01:07:23,02:00:46,02:19:04,03:24:02,03:44:39
Details/Certificate,64th,304,Jonty Bright,Harrogate Nova,MV40,03:44:51,First, , ,1, ,00:54:23,01:10:13,02:00:08,02:27:31,03:24:04,03:44:51
Details/Certificate,65th,204,Matthew Humpage,Trek Bicycle Club,M,03:44:52,First, , ,2, ,00:55:12,01:11:23,02:05:51,02:29:03,03:24:30,03:44:52
Details/Certificate,66th,312,Phil Hinchliffe,Holmfirth Cycling Club,MV40,03:44:56,First, , ,28, ,00:56:40,01:11:36,02:04:20,02:25:59,03:22:36,03:44:56
Details/Certificate,67th,284,Chris Hope,Cyclewise Altura,MV40,03:44:59,First, , ,1, ,00:56:49,01:12:49,02:05:44,02:26:50,03:24:06,03:44:59
Details/Certificate,68th,477,Steve Young,U/A Grange-over-Sands,MV40,03:45:31,First, , ,4, ,00:57:40,01:14:57,02:07:22,02:28:55,03:24:18,03:45:31
Details/Certificate,69th,93,David Poole,Barlick Fell Runners,M,03:45:50,First, , ,3, ,00:57:46,01:13:29,02:07:44,02:28:51,03:25:02,03:45:50
Details/Certificate,70th,251,Chris Robinson,Beacon Wheelers,MV40,03:45:55,First, ,N,0, ,00:55:28,01:12:01,02:03:57,02:27:56,03:23:19,03:45:55
Details/Certificate,71st,295,Roger Maidment,Forest Side Riders,MV40,03:45:59,First, ,N,0, ,00:54:11,01:11:06,02:02:59,02:26:46,03:23:29,03:45:59
Details/Certificate,72nd,184,Scot Easter,SCOTT-UK,M,03:46:14,First, , ,8, ,00:53:23,01:09:25,02:02:12,02:24:07,03:24:17,03:46:14
Details/Certificate,73rd,169,Robert Watson,Paceline Cycles North,M,03:46:16,First, , ,4, ,00:55:24,01:07:54,02:03:34,02:21:39,03:26:47,03:46:16
Details/Certificate,74th,523,John Houlihan,Here Come The Belgians,MV50,03:46:31,First, , ,3, ,00:56:26,01:11:48,02:05:58,02:26:45,03:24:50,03:46:31
Details/Certificate,75th,112,Andy Laycock,Clayton-le-Moors Harriers,M,03:47:13,First,G, ,1,P/S Stephen & Andy Laycock,00:56:11,01:13:23,02:05:04,02:28:54,03:25:11,03:47:13
Details/Certificate,76th,327,Ian CliffeTwitterStrava,Ilkley CC,MV40,03:47:40,First, , ,4, ,00:56:24,01:13:03,02:06:08,02:28:48,03:24:57,03:47:40
Details/Certificate,77th,210,Ian Dunlop,Velo Club Moulin,M,03:48:00,First, , ,3, ,00:56:53,01:14:14,02:07:17,02:29:29,03:25:23,03:48:00
Details/Certificate,78th,203,Neal Crampton,Torq,M,03:48:01,First, , ,5, ,00:51:00,01:06:01,01:55:44,02:29:03,03:21:51,03:48:01
Details/Certificate,79th,82,Bob Hewitt,Adept precision RT,M,03:48:31,First, , ,1, ,00:55:18,01:11:09,02:02:17,02:24:29,03:24:38,03:48:31
Details/Certificate,80th,427,William Wright,Will's Wheels CC,MV40,03:48:36,First, , ,9, ,00:52:22,01:10:29,02:06:27,02:30:30,03:24:48,03:48:36
Details/Certificate,81st,377,Richard Knowles,Ride One Bike Shop,MV40,03:48:42,First, , ,5, ,00:54:19,01:10:14,02:05:30,02:28:02,03:27:10,03:48:42
Details/Certificate,82nd,337,Nigel WoodTwitter,Kendal CC,MV40,03:48:47,First, , ,1, ,00:57:01,01:13:18,02:06:35,02:29:39,03:27:02,03:48:47
Details/Certificate,83rd,541,Simon Everett,Ilkley CC,MV50,03:49:48,First, , ,3, ,00:53:56,01:10:46,02:03:24,02:28:11,03:26:48,03:49:48
Details/Certificate,84th,182,Tom Canaway,Rutland CC,M,03:50:12,First, , ,4, ,00:58:34,01:16:06,02:08:59,02:33:12,03:28:29,03:50:12
Details/Certificate,85th,139,Christopher Ward,Huddersfield Star Wheelers,M,03:50:13,First, , ,4, ,00:56:29,01:12:01,02:06:46,02:28:47,03:27:10,03:50:13
Details/Certificate,86th,185,Joshua GibsonInstagram,SCOTT-UK,M,03:50:14,First, ,N,0, ,00:55:19,01:11:08,02:04:20,02:26:42,03:27:43,03:50:14
Details/Certificate,87th,404,Thomas Schneider,Team WNT,MV40,03:50:17,First, , ,2, ,00:55:16,01:11:44,02:04:58,02:28:26,03:26:56,03:50:17
Details/Certificate,88th,215,Philip Bridge,Will's Wheels CC,M,03:50:18,First, , ,8, ,01:00:19,01:19:39,02:11:55,02:35:12,03:29:23,03:50:18
Details/Certificate,89th,141,Dave Wilby,Ilkley CC,M,03:50:50,First,G, ,6,P/S Ken & Dave Wilby,00:58:04,01:15:10,02:09:12,02:32:43,03:28:56,03:50:50
Details/Certificate,90th,174,Ruairi RevellTwitterStrava,Portovelo,M,03:50:51,First, , ,2, ,00:56:46,01:13:02,02:07:12,02:29:39,03:28:44,03:50:51
Details/Certificate,91st,357,Donald Paterson,Nevis Cycles RT,MV40,03:50:54,First, ,N,0, ,00:56:27,01:11:30,02:06:55,02:28:19,03:28:42,03:50:54
Details/Certificate,92nd=,413,John Cordner,TrainSharp CC,MV40,03:51:08,First, , ,2, ,00:57:59,01:13:01,02:08:17,02:30:18,03:29:27,03:51:08
Details/Certificate,92nd=,95,Tom Southam,BGCC,M,03:51:08,First, , ,1, ,00:58:01,01:16:07,02:10:45,02:34:06,03:29:30,03:51:08
Details/Certificate,94th,383,Keith MurrayFacebookTwitterInstagramStrava,SCOTT-UK,MV40,03:52:11,First, , ,10, ,00:54:29,01:10:28,02:09:05,02:37:54,03:32:02,03:52:11
Details/Certificate,95th,98,Charlie Evans,Bikelife Coaching,M,03:52:58,First, , ,3, ,00:57:24,01:15:55,02:10:25,02:33:36,03:30:29,03:52:58
Details/Certificate,96th,195,William LintonFacebookTwitterInstagramStrava,Sunday Echappee,M,03:53:14,First, , ,3, ,00:57:10,01:14:15,02:08:30,02:33:00,03:30:55,03:53:14
Details/Certificate,97th,72,Ewan Grivell-Mellor,Mid Shropshire Wheelers,MU23,03:53:15,First,G,N,0,P/S Dave Mellor & Ewan Grivell-Mellor,00:54:41,01:17:16,02:10:48,02:33:29,03:25:34,03:53:15
Details/Certificate,98th,105,James Patterson,Caesarean Cycling Club Jersey,M,03:53:17,First, ,N,0, ,00:55:44,01:11:05,02:05:57,02:26:31,03:32:15,03:53:17
Details/Certificate,99th,369,Michael BurdonTwitter,PH-Mas Paul Milnes Oldfield ERT,MV40,03:54:22,First, , ,5, ,00:56:50,01:12:44,02:05:46,02:32:30,03:32:25,03:54:22
Details/Certificate,100th,280,Jimmy Wilson,Cyclefit RT,MV40,03:54:31,First, , ,10, ,00:59:20,01:17:44,02:12:14,02:36:09,03:32:04,03:54:31
Details/Certificate,101st,431,Craig Gath,York Cycleworks,MV40,03:54:37,First,G, ,12,P/S Stephen & Craig Gath,00:56:11,01:11:33,02:10:02,02:33:06,03:33:45,03:54:37
Details/Certificate,102nd,149,Paul Troughton,Kendal CC,M,03:54:38,First, , ,2, ,00:58:04,01:12:55,02:08:06,02:32:27,03:33:59,03:54:38
Details/Certificate,103rd,406,Robin Bradbury,TN715,MV40,03:55:40,First, , ,24, ,00:57:09,01:13:22,02:07:46,02:31:02,03:32:27,03:55:40
Details/Certificate,104th,444,Phillip Craker,U/A Ambleside,MV40,03:56:13,First, , ,4, ,00:56:19,01:13:20,02:06:20,02:30:26,03:32:46,03:56:13
Details/Certificate,105th,436,James Furniss,zepnat.com,MV40,03:56:45,First, , ,11, ,00:59:45,01:17:08,02:13:53,02:38:15,03:35:33,03:56:45
Details/Certificate,106th,509,Andy KitchinAttackpoint,Edinburgh RC,MV50,03:56:46,First, ,N,0, ,00:57:06,01:13:48,02:08:04,02:32:49,03:32:02,03:56:46
Details/Certificate,107th,634,John Galway,Keswick Bikes / YH Training,MV60,03:56:51,First, , ,3, ,00:58:06,01:16:01,02:10:40,02:34:09,03:33:00,03:56:51
Details/Certificate,108th,315,Paul Dixon,Hope Factory Racing,MV40,03:57:00,First, , ,3, ,01:01:24,01:17:20,02:13:37,02:34:59,03:36:11,03:57:00
Details/Certificate,109th,479,Richard GateFacebook,AlbaRosa CC,MV50,03:57:02,First, , ,3, ,00:57:43,01:13:50,02:10:37,02:34:51,03:35:13,03:57:02
Details/Certificate,110th,374,Paul Mace,RAF CA,MV40,03:58:47,First, , ,12, ,00:59:54,01:17:40,02:12:40,02:37:23,03:34:32,03:58:47
Details/Certificate,111th,576,Paul Lambert,Settle Harriers,MV50,03:58:48,First, , ,3, ,01:01:13,01:16:57,02:12:26,02:34:42,03:35:55,03:58:48
Details/Certificate,112th,291,Ivan Oxborough,Ellmore Factory Racing Team,MV40,03:59:19,First, , ,4, ,00:57:32,01:15:13,02:09:10,02:36:20,03:35:12,03:59:19
Details/Certificate,113th,200,Florian Presslauer,Team WNT,M,03:59:20,First, , ,2, ,00:55:49,01:12:36,02:06:01,02:30:21,03:34:13,03:59:20
Details/Certificate,114th,551,David SmithStrava,Kendal CC,MV50,03:59:39,First, , ,1, ,01:02:09,01:20:15,02:16:16,02:39:46,03:38:04,03:59:39
Details/Certificate,115th,117,Ricardo Parreirinha,Edinburgh RC,M,03:59:40,First, ,N,0, ,01:02:45,01:20:38,02:17:33,02:39:57,03:37:49,03:59:40
Details/Certificate,116th,128,Sam Gibbs,Hope Factory Racing,M,03:59:57,First, , ,5, ,01:01:58,01:18:34,02:14:36,02:37:47,03:37:28,03:59:57
Details/Certificate,117th,611,Adrian HillFacebookTwitter,U/A Elloughton,,,,,,,,,,,,,
Details/Certificate,118th,506,John Elwell,East Bradford CC,MV50,04:00:34,Second, , ,2, ,00:58:46,01:18:03,02:14:22,02:38:25,03:37:05,04:00:34
Details/Certificate,119th,110,Stuart Dun,Catcune Suffolks,M,04:00:47,Second, , ,2, ,00:58:51,01:15:08,02:09:54,02:32:16,03:33:05,04:00:47
Details/Certificate,120th,489,Peter Jowett,Bradford RCC / Lynn Motors,MV50,04:00:49,Second, , ,13, ,01:00:30,01:19:06,02:16:05,02:40:18,03:37:37,04:00:49
Details/Certificate,121st,180,Rob Meeuwessen,Rings-goirle,,,,,,,,,,,,,
Details/Certificate,122nd,264,Andrew Wadsworth,BW Cycling,MV40,04:01:00,Second, ,N,0, ,00:54:36,01:23:18,02:15:21,02:38:06,03:30:59,04:01:00
Details/Certificate,123rd,346,David Thorp,Macclesfield Wheelers,MV40,04:01:05,Second, , ,3, ,00:59:12,01:16:55,02:12:48,02:35:41,03:37:45,04:01:05
Details/Certificate,124th,590,Ian Ferguson,TN715,MV50,04:01:23,Second, , ,15, ,00:59:16,01:16:21,02:12:07,02:37:33,03:37:25,04:01:23
Details/Certificate,125th,410,Dave Freeman,TNFC,MV40,04:01:34,Second, , ,1, ,01:00:47,01:18:18,02:14:26,02:38:01,03:39:05,04:01:34
